Sim 3

Solar R: 0.957
Solar A: 0.0
Solar T: 0.043

Wavelength	R	A	T
0.25	0.9636	0.0	0.0364	
0.26	0.9583	0.0	0.0417	
0.27	0.954	0.0	0.046	
0.28	0.9684	0.0	0.0316	
0.29	0.9651	0.0	0.0349	
0.3	0.9647	0.0	0.0353	
0.31	0.9666	0.0	0.0334	
0.32	0.9724	0.0	0.0276	
0.33	0.9649	0.0	0.0351	
0.34	0.9715	0.0	0.0285	
0.35	0.964	0.0	0.036	
0.36	0.9669	0.0	0.0331	
0.37	0.9723	0.0	0.0277	
0.38	0.9658	0.0	0.0342	
0.39	0.9657	0.0	0.0343	
0.4	0.9704	0.0	0.0296	
0.41	0.9698	0.0	0.0302	
0.42	0.9661	0.0	0.0339	
0.43	0.9681	0.0	0.0319	
0.44	0.9719	0.0	0.0281	
0.45	0.9723	0.0	0.0277	
0.46	0.9697	0.0	0.0303	
0.47	0.9679	0.0	0.0321	
0.48	0.9692	0.0	0.0308	
0.49	0.9712	0.0	0.0288	
0.5	0.9723	0.0	0.0277	
0.51	0.9698	0.0	0.0302	
0.52	0.9693	0.0	0.0307	
0.53	0.9665	0.0	0.0335	
0.54	0.9681	0.0	0.0319	
0.55	0.9684	0.0	0.0316	
0.56	0.9695	0.0	0.0305	
0.57	0.969	0.0	0.031	
0.58	0.9673	0.0	0.0327	
0.59	0.9682	0.0	0.0318	
0.6	0.9655	0.0	0.0345	
0.61	0.9663	0.0	0.0337	
0.62	0.9658	0.0	0.0342	
0.63	0.9664	0.0	0.0336	
0.64	0.9658	0.0	0.0342	
0.65	0.9656	0.0	0.0344	
0.66	0.9667	0.0	0.0333	
0.67	0.9659	0.0	0.0341	
0.68	0.9643	0.0	0.0357	
0.69	0.9632	0.0	0.0368	
0.7	0.9636	0.0	0.0364	
0.71	0.9629	0.0	0.0371	
0.72	0.9634	0.0	0.0366	
0.73	0.9624	0.0	0.0376	
0.74	0.9626	0.0	0.0374	
0.75	0.9623	0.0	0.0377	
0.76	0.9606	0.0	0.0394	
0.77	0.9608	0.0	0.0392	
0.78	0.9615	0.0	0.0385	
0.79	0.9604	0.0	0.0396	
0.8	0.96	0.0	0.04	
0.81	0.9606	0.0	0.0394	
0.82	0.9598	0.0	0.0402	
0.83	0.9596	0.0	0.0404	
0.84	0.9597	0.0	0.0403	
0.85	0.9603	0.0	0.0397	
0.86	0.9591	0.0	0.0409	
0.87	0.9589	0.0	0.0411	
0.88	0.9578	0.0	0.0422	
0.89	0.9598	0.0	0.0402	
0.9	0.9566	0.0	0.0434	
0.91	0.9576	0.0	0.0424	
0.92	0.9566	0.0	0.0434	
0.93	0.9557	0.0	0.0443	
0.94	0.9559	0.0	0.0441	
0.95	0.9559	0.0	0.0441	
0.96	0.9541	0.0	0.0459	
0.97	0.9555	0.0	0.0445	
0.98	0.9559	0.0	0.0441	
0.99	0.9558	0.0	0.0442	
1.0	0.9558	0.0	0.0442	
1.01	0.955	0.0	0.045	
1.02	0.9552	0.0	0.0448	
1.03	0.9558	0.0	0.0442	
1.04	0.9569	0.0	0.0431	
1.05	0.956	0.0	0.044	
1.06	0.9558	0.0	0.0442	
1.07	0.9572	0.0	0.0428	
1.08	0.9544	0.0	0.0456	
1.09	0.9562	0.0	0.0438	
1.1	0.9559	0.0	0.0441	
1.11	0.9559	0.0	0.0441	
1.12	0.9562	0.0	0.0438	
1.13	0.9547	0.0	0.0453	
1.14	0.9547	0.0	0.0453	
1.15	0.9538	0.0	0.0462	
1.16	0.9542	0.0	0.0458	
1.17	0.9526	0.0	0.0474	
1.18	0.9532	0.0	0.0468	
1.19	0.9522	0.0	0.0478	
1.2	0.9528	0.0	0.0472	
1.21	0.9518	0.0	0.0482	
1.22	0.9518	0.0	0.0482	
1.23	0.952	0.0	0.048	
1.24	0.9512	0.0	0.0488	
1.25	0.9518	0.0	0.0482	
1.26	0.951	0.0	0.049	
1.27	0.9503	0.0	0.0497	
1.28	0.9495	0.0	0.0505	
1.29	0.9512	0.0	0.0488	
1.3	0.9516	0.0	0.0484	
1.31	0.9501	0.0	0.0499	
1.32	0.9503	0.0	0.0497	
1.33	0.9503	0.0	0.0497	
1.34	0.9511	0.0	0.0489	
1.35	0.9502	0.0	0.0498	
1.36	0.9507	0.0	0.0493	
1.37	0.9471	0.0	0.0529	
1.38	0.9476	0.0	0.0524	
1.39	0.9489	0.0	0.0511	
1.4	0.9484	0.0	0.0516	
1.41	0.9477	0.0	0.0523	
1.42	0.9481	0.0	0.0519	
1.43	0.9477	0.0	0.0523	
1.44	0.9484	0.0	0.0516	
1.45	0.9463	0.0	0.0537	
1.46	0.9457	0.0	0.0543	
1.47	0.9462	0.0	0.0538	
1.48	0.9464	0.0	0.0536	
1.49	0.9443	0.0	0.0557	
1.5	0.9448	0.0	0.0552	
1.51	0.9433	0.0	0.0567	
1.52	0.9425	0.0	0.0575	
1.53	0.9416	0.0	0.0584	
1.54	0.9419	0.0	0.0581	
1.55	0.9403	0.0	0.0597	
1.56	0.9394	0.0	0.0606	
1.57	0.9371	0.0	0.0629	
1.58	0.9383	0.0	0.0617	
1.59	0.9368	0.0	0.0632	
1.6	0.9344	0.0	0.0656	
1.61	0.9329	0.0	0.0671	
1.62	0.9319	0.0	0.0681	
1.63	0.931	0.0	0.069	
1.64	0.9304	0.0	0.0696	
1.65	0.9272	0.0	0.0728	
1.66	0.9266	0.0	0.0734	
1.67	0.926	0.0	0.074	
1.68	0.9234	0.0	0.0766	
1.69	0.9217	0.0	0.0782	
1.7	0.92	0.0	0.0799	
1.71	0.9176	0.0	0.0824	
1.72	0.9182	0.0	0.0818	
1.73	0.9146	0.0	0.0854	
1.74	0.9146	0.0	0.0854	
1.75	0.9123	0.0	0.0877	
1.76	0.9104	0.0	0.0895	
1.77	0.908	0.0	0.092	
1.78	0.9056	0.0	0.0944	
1.79	0.9055	0.0	0.0944	
1.8	0.9031	0.0	0.0968	
1.81	0.9029	0.0	0.0971	
1.82	0.8998	0.0	0.1002	
1.83	0.8991	0.0	0.1009	
1.84	0.8978	0.0	0.1022	
1.85	0.8967	0.0	0.1033	
1.86	0.8931	0.0	0.1069	
1.87	0.8917	0.0	0.1083	
1.88	0.892	0.0	0.1079	
1.89	0.8899	0.0001	0.11	
1.9	0.8873	0.0001	0.1127	
1.91	0.8875	0.0001	0.1124	
1.92	0.8875	0.0001	0.1125	
1.93	0.8837	0.0001	0.1162	
1.94	0.8828	0.0001	0.1171	
1.95	0.8808	0.0001	0.1191	
1.96	0.8813	0.0001	0.1187	
1.97	0.8795	0.0001	0.1204	
1.98	0.8786	0.0001	0.1214	
1.99	0.8784	0.0001	0.1215	
2.0	0.8787	0.0001	0.1212	
2.01	0.8753	0.0001	0.1246	
2.02	0.8769	0.0001	0.123	
2.03	0.8744	0.0001	0.1255	
2.04	0.8743	0.0001	0.1256	
2.05	0.8731	0.0001	0.1268	
2.06	0.8741	0.0001	0.1258	
2.07	0.8714	0.0001	0.1285	
2.08	0.8747	0.0001	0.1251	
2.09	0.8718	0.0001	0.1281	
2.1	0.8714	0.0001	0.1284	
2.11	0.8678	0.0001	0.1321	
2.12	0.8697	0.0001	0.1301	
2.13	0.8703	0.0001	0.1296	
2.14	0.8675	0.0001	0.1324	
2.15	0.8684	0.0001	0.1315	
2.16	0.8689	0.0001	0.131	
2.17	0.8658	0.0002	0.134	
2.18	0.8671	0.0002	0.1327	
2.19	0.8694	0.0002	0.1304	
2.2	0.8675	0.0002	0.1323	
2.21	0.8674	0.0002	0.1325	
2.22	0.866	0.0002	0.1339	
2.23	0.8666	0.0002	0.1332	
2.24	0.866	0.0002	0.1338	
2.25	0.8677	0.0002	0.1321	
2.26	0.8643	0.0002	0.1355	
2.27	0.8662	0.0002	0.1336	
2.28	0.8647	0.0002	0.1351	
2.29	0.8635	0.0002	0.1363	
2.3	0.8629	0.0002	0.1369	
2.31	0.8645	0.0003	0.1352	
2.32	0.864	0.0003	0.1358	
2.33	0.8642	0.0003	0.1355	
2.34	0.8613	0.0003	0.1384	
2.35	0.8627	0.0003	0.137	
2.36	0.8624	0.0003	0.1373	
2.37	0.8619	0.0003	0.1378	
2.38	0.8601	0.0003	0.1395	
2.39	0.8594	0.0003	0.1402	
2.4	0.8614	0.0003	0.1382	
2.41	0.8585	0.0004	0.1412	
2.42	0.8579	0.0004	0.1417	
2.43	0.8572	0.0004	0.1424	
2.44	0.8595	0.0004	0.1401	
2.45	0.8592	0.0004	0.1404	
2.46	0.8563	0.0004	0.1433	
2.47	0.8574	0.0004	0.1422	
2.48	0.8554	0.0004	0.1441	
2.49	0.8551	0.0005	0.1445	
2.5	0.8547	0.0005	0.1448	
2.5	0.8562	0.0005	0.1433	

Input file:
mc
output:fig6a
particle1:sio2.txt
particle2:air.txt
matrix1:air.txt
mesh:1
solar:am15.txt
photons:100000
start=0.25
end=2.5

sim3
upper:1
lower:1
layer1
matrix1
t:50
particle2
c:0.5
particle1
s:0.3
vf:60
