Sim 1

Solar R: 0.9633
Solar A: 0.0
Solar T: 0.0367

WL	R	A	T	n(1)	mu_a(1)	mu_s(1)	g(1)	t(1)
0.25	0.9791	0.0	0.0209	1.0	0.0	3.564	0.5579	50.0	
0.26	0.9834	0.0	0.0166	1.0	0.0	4.1214	0.5224	50.0	
0.27	0.9813	0.0	0.0187	1.0	0.0	3.7208	0.5471	50.0	
0.28	0.9815	0.0	0.0185	1.0	0.0	4.593	0.6079	50.0	
0.29	0.9838	0.0	0.0162	1.0	0.0	4.9083	0.5928	50.0	
0.3	0.98	0.0	0.02	1.0	0.0	5.0738	0.6655	50.0	
0.31	0.9816	0.0	0.0184	1.0	0.0	6.007	0.701	50.0	
0.32	0.9829	0.0	0.0171	1.0	0.0	6.4989	0.6936	50.0	
0.33	0.9823	0.0	0.0177	1.0	0.0	6.4409	0.7186	50.0	
0.34	0.9808	0.0	0.0192	1.0	0.0	6.9628	0.7555	50.0	
0.35	0.9811	0.0	0.0189	1.0	0.0	7.6544	0.7704	50.0	
0.36	0.9818	0.0	0.0182	1.0	0.0	7.9253	0.7664	50.0	
0.37	0.9812	0.0	0.0188	1.0	0.0	7.8099	0.7679	50.0	
0.38	0.9803	0.0	0.0197	1.0	0.0	7.9165	0.7801	50.0	
0.39	0.9803	0.0	0.0197	1.0	0.0	8.2425	0.793	50.0	
0.4	0.9801	0.0	0.0199	1.0	0.0	8.5678	0.8019	50.0	
0.41	0.9799	0.0	0.0201	1.0	0.0	8.6731	0.8045	50.0	
0.42	0.9799	0.0	0.0201	1.0	0.0	8.5342	0.804	50.0	
0.43	0.98	0.0	0.02	1.0	0.0	8.3745	0.8039	50.0	
0.44	0.9796	0.0	0.0204	1.0	0.0	8.3326	0.8046	50.0	
0.45	0.9799	0.0	0.0201	1.0	0.0	8.3848	0.8058	50.0	
0.46	0.9791	0.0	0.0209	1.0	0.0	8.4594	0.8071	50.0	
0.47	0.9793	0.0	0.0207	1.0	0.0	8.4825	0.8084	50.0	
0.48	0.9788	0.0	0.0212	1.0	0.0	8.4048	0.8093	50.0	
0.49	0.9792	0.0	0.0208	1.0	0.0	8.2312	0.8097	50.0	
0.5	0.9774	0.0	0.0226	1.0	0.0	8.0188	0.8099	50.0	
0.51	0.9779	0.0	0.0221	1.0	0.0	7.8284	0.8099	50.0	
0.52	0.9771	0.0	0.0229	1.0	0.0	7.6868	0.8097	50.0	
0.53	0.9774	0.0	0.0226	1.0	0.0	7.5889	0.809	50.0	
0.54	0.9768	0.0	0.0232	1.0	0.0	7.5161	0.8078	50.0	
0.55	0.9772	0.0	0.0228	1.0	0.0	7.4471	0.8062	50.0	
0.56	0.9766	0.0	0.0234	1.0	0.0	7.3626	0.8042	50.0	
0.57	0.977	0.0	0.023	1.0	0.0	7.2487	0.802	50.0	
