Sim 1

Solar R: 0.9633
Solar A: 0.0
Solar T: 0.0366

Wavelength	R	A	T
0.25	0.9789	0.0	0.0211	
0.26	0.9826	0.0	0.0174	
0.27	0.9811	0.0	0.0189	
0.28	0.9818	0.0	0.0182	
0.29	0.9833	0.0	0.0167	
0.3	0.9806	0.0	0.0194	
0.31	0.9811	0.0	0.0189	
0.32	0.9836	0.0	0.0164	
0.33	0.9816	0.0	0.0184	
0.34	0.9802	0.0	0.0198	
0.35	0.9815	0.0	0.0185	
0.36	0.9813	0.0	0.0187	
0.37	0.9818	0.0	0.0182	
0.38	0.9808	0.0	0.0192	
0.39	0.9801	0.0	0.0199	
0.4	0.9806	0.0	0.0194	
0.41	0.9799	0.0	0.0201	
0.42	0.98	0.0	0.02	
0.43	0.9793	0.0	0.0207	
0.44	0.9796	0.0	0.0204	
0.45	0.9795	0.0	0.0205	
0.46	0.9792	0.0	0.0208	
0.47	0.9794	0.0	0.0206	
0.48	0.9792	0.0	0.0208	
0.49	0.9787	0.0	0.0213	
0.5	0.9787	0.0	0.0213	
0.51	0.9774	0.0	0.0226	
0.52	0.9767	0.0	0.0233	
0.53	0.9775	0.0	0.0225	
0.54	0.9772	0.0	0.0228	
0.55	0.9762	0.0	0.0238	
0.56	0.9771	0.0	0.0229	
0.57	0.9776	0.0	0.0224	
0.58	0.9772	0.0	0.0228	
0.59	0.9765	0.0	0.0235	
0.6	0.9763	0.0	0.0237	
0.61	0.9762	0.0	0.0238	
0.62	0.9767	0.0	0.0233	
0.63	0.9739	0.0	0.0261	
0.64	0.9747	0.0	0.0253	
0.65	0.975	0.0	0.025	
0.66	0.9744	0.0	0.0256	
0.67	0.9741	0.0	0.0259	
0.68	0.9733	0.0	0.0267	
0.69	0.9729	0.0	0.0271	
0.7	0.9723	0.0	0.0277	
0.71	0.9725	0.0	0.0275	
0.72	0.9724	0.0	0.0276	
0.73	0.9716	0.0	0.0284	
0.74	0.9709	0.0	0.0291	
0.75	0.9702	0.0	0.0298	
0.76	0.9698	0.0	0.0302	
