Sim 2

Solar R: 0.9634
Solar A: 0.0
Solar T: 0.0366

WL	R	A	T	n(1)	mu_a(1)	mu_s(1)	g(1)	t(1)
0.25	0.9657	0.0	0.0343	1.0	0.0	4.2901	0.7782	50.0	
0.26	0.9722	0.0	0.0278	1.0	0.0	4.1376	0.7209	50.0	
0.27	0.9681	0.0	0.0319	1.0	0.0	3.5428	0.7133	50.0	
0.28	0.9751	0.0	0.0249	1.0	0.0	3.5153	0.6155	50.0	
0.29	0.9699	0.0	0.0301	1.0	0.0	2.8848	0.62	50.0	
0.3	0.9758	0.0	0.0242	1.0	0.0	3.0674	0.5723	50.0	
0.31	0.9752	0.0	0.0248	1.0	0.0	2.7345	0.507	50.0	
0.32	0.9722	0.0	0.0278	1.0	0.0	2.8992	0.5811	50.0	
0.33	0.9782	0.0	0.0218	1.0	0.0	3.3212	0.56	50.0	
0.34	0.9759	0.0	0.0241	1.0	0.0	3.0604	0.5593	50.0	
0.35	0.9742	0.0	0.0258	1.0	0.0	3.4292	0.6299	50.0	
0.36	0.9767	0.0	0.0233	1.0	0.0	3.9977	0.6454	50.0	
0.37	0.9779	0.0	0.0221	1.0	0.0	4.0449	0.6367	50.0	
0.38	0.9747	0.0	0.0253	1.0	0.0	4.1019	0.6831	50.0	
0.39	0.9744	0.0	0.0256	1.0	0.0	4.5925	0.7182	50.0	
0.4	0.9766	0.0	0.0234	1.0	0.0	5.1046	0.7244	50.0	
0.41	0.9769	0.0	0.0231	1.0	0.0	5.2225	0.7179	50.0	
0.42	0.9763	0.0	0.0237	1.0	0.0	5.1784	0.7343	50.0	
0.43	0.9749	0.0	0.0251	1.0	0.0	5.4082	0.7605	50.0	
0.44	0.9751	0.0	0.0249	1.0	0.0	5.7938	0.7777	50.0	
0.45	0.9744	0.0	0.0256	1.0	0.0	6.135	0.7822	50.0	
0.46	0.9758	0.0	0.0242	1.0	0.0	6.2401	0.7782	50.0	
0.47	0.9762	0.0	0.0238	1.0	0.0	6.1643	0.7769	50.0	
0.48	0.975	0.0	0.025	1.0	0.0	6.1511	0.7826	50.0	
0.49	0.9748	0.0	0.0252	1.0	0.0	6.2684	0.7915	50.0	
0.5	0.9741	0.0	0.0259	1.0	0.0	6.4579	0.8002	50.0	
0.51	0.9738	0.0	0.0262	1.0	0.0	6.6402	0.8066	50.0	
0.52	0.9741	0.0	0.0259	1.0	0.0	6.7364	0.8096	50.0	
0.53	0.9739	0.0	0.0261	1.0	0.0	6.708	0.8097	50.0	
0.54	0.974	0.0	0.026	1.0	0.0	6.6026	0.8089	50.0	
0.55	0.9739	0.0	0.0261	1.0	0.0	6.5062	0.8084	50.0	
0.56	0.9737	0.0	0.0263	1.0	0.0	6.4633	0.8084	50.0	
0.57	0.9736	0.0	0.0264	1.0	0.0	6.4707	0.8089	50.0	
0.58	0.9733	0.0	0.0267	1.0	0.0	6.5056	0.8096	50.0	
0.59	0.9727	0.0	0.0273	1.0	0.0	6.5411	0.8105	50.0	
0.6	0.973	0.0	0.027	1.0	0.0	6.5516	0.8114	50.0	
0.61	0.9728	0.0	0.0272	1.0	0.0	6.5191	0.8122	50.0	
0.62	0.973	0.0	0.027	1.0	0.0	6.4387	0.8126	50.0	
0.63	0.9727	0.0	0.0273	1.0	0.0	6.3232	0.8128	50.0	
0.64	0.9704	0.0	0.0296	1.0	0.0	6.196	0.8128	50.0	
0.65	0.9708	0.0	0.0292	1.0	0.0	6.0779	0.8127	50.0	
0.66	0.9708	0.0	0.0292	1.0	0.0	5.9806	0.8124	50.0	
0.67	0.9706	0.0	0.0294	1.0	0.0	5.9057	0.8119	50.0	
0.68	0.9698	0.0	0.0302	1.0	0.0	5.8489	0.8111	50.0	
0.69	0.9702	0.0	0.0298	1.0	0.0	5.8035	0.81	50.0	
0.7	0.9703	0.0	0.0297	1.0	0.0	5.7616	0.8087	50.0	
0.71	0.9699	0.0	0.0301	1.0	0.0	5.7165	0.8072	50.0	
0.72	0.9699	0.0	0.0301	1.0	0.0	5.6621	0.8056	50.0	
0.73	0.9708	0.0	0.0292	1.0	0.0	5.594	0.8038	50.0	
0.74	0.9698	0.0	0.0302	1.0	0.0	5.5106	0.8017	50.0	
0.75	0.969	0.0	0.031	1.0	0.0	5.4125	0.7994	50.0	
0.76	0.9698	0.0	0.0302	1.0	0.0	5.3032	0.7969	50.0	
0.77	0.9689	0.0	0.0311	1.0	0.0	5.1877	0.7942	50.0	
0.78	0.9676	0.0	0.0324	1.0	0.0	5.0712	0.7914	50.0	
0.79	0.9689	0.0	0.0311	1.0	0.0	4.9589	0.7887	50.0	
0.8	0.9684	0.0	0.0316	1.0	0.0	4.854	0.7862	50.0	
0.81	0.967	0.0	0.033	1.0	0.0	4.7588	0.784	50.0	
0.82	0.9678	0.0	0.0322	1.0	0.0	4.6735	0.7821	50.0	
0.83	0.9674	0.0	0.0326	1.0	0.0	4.5974	0.7806	50.0	
0.84	0.9668	0.0	0.0332	1.0	0.0	4.5291	0.7795	50.0	
0.85	0.966	0.0	0.034	1.0	0.0	4.4669	0.7786	50.0	
0.86	0.9664	0.0	0.0336	1.0	0.0	4.4088	0.778	50.0	
0.87	0.9662	0.0	0.0338	1.0	0.0	4.353	0.7776	50.0	
0.88	0.9654	0.0	0.0346	1.0	0.0	4.2979	0.7773	50.0	
0.89	0.966	0.0	0.034	1.0	0.0	4.2421	0.7769	50.0	
0.9	0.9649	0.0	0.0351	1.0	0.0	4.1844	0.7766	50.0	
0.91	0.9652	0.0	0.0348	1.0	0.0	4.124	0.7761	50.0	
0.92	0.9632	0.0	0.0368	1.0	0.0	4.0601	0.7754	50.0	
0.93	0.9633	0.0	0.0367	1.0	0.0	3.9926	0.7745	50.0	
0.94	0.963	0.0	0.037	1.0	0.0	3.9215	0.7733	50.0	
0.95	0.9626	0.0	0.0374	1.0	0.0	3.8471	0.7718	50.0	
0.96	0.9611	0.0	0.0389	1.0	0.0	3.7701	0.7699	50.0	
0.97	0.9621	0.0	0.0379	1.0	0.0	3.691	0.7675	50.0	
0.98	0.9613	0.0	0.0387	1.0	0.0	3.6109	0.7648	50.0	
0.99	0.9615	0.0	0.0385	1.0	0.0	3.5306	0.7616	50.0	
1.0	0.9604	0.0	0.0396	1.0	0.0	3.4511	0.7579	50.0	
1.01	0.9597	0.0	0.0403	1.0	0.0	3.3731	0.7539	50.0	
1.02	0.9595	0.0	0.0405	1.0	0.0	3.2973	0.7495	50.0	
1.03	0.9606	0.0	0.0394	1.0	0.0	3.2243	0.7448	50.0	
1.04	0.9603	0.0	0.0397	1.0	0.0	3.1545	0.7398	50.0	
1.05	0.959	0.0	0.041	1.0	0.0	3.0881	0.7346	50.0	
1.06	0.9593	0.0	0.0407	1.0	0.0	3.0253	0.7294	50.0	
1.07	0.9612	0.0	0.0388	1.0	0.0	2.9661	0.7241	50.0	
1.08	0.9603	0.0	0.0397	1.0	0.0	2.9103	0.7188	50.0	
1.09	0.9602	0.0	0.0398	1.0	0.0	2.8579	0.7136	50.0	
1.1	0.9597	0.0	0.0403	1.0	0.0	2.8086	0.7085	50.0	
1.11	0.9604	0.0	0.0396	1.0	0.0	2.762	0.7037	50.0	
1.12	0.9602	0.0	0.0398	1.0	0.0	2.718	0.699	50.0	
1.13	0.9602	0.0	0.0398	1.0	0.0	2.6762	0.6947	50.0	
1.14	0.9605	0.0	0.0395	1.0	0.0	2.6364	0.6906	50.0	
1.15	0.9596	0.0	0.0404	1.0	0.0	2.5982	0.6868	50.0	
1.16	0.9595	0.0	0.0405	1.0	0.0	2.5614	0.6833	50.0	
1.17	0.9597	0.0	0.0403	1.0	0.0	2.5258	0.6802	50.0	
1.18	0.9584	0.0	0.0416	1.0	0.0	2.491	0.6774	50.0	
1.19	0.9587	0.0	0.0413	1.0	0.0	2.4568	0.6749	50.0	
1.2	0.9585	0.0	0.0415	1.0	0.0	2.4232	0.6727	50.0	
1.21	0.9576	0.0	0.0424	1.0	0.0	2.3898	0.6707	50.0	
1.22	0.958	0.0	0.042	1.0	0.0	2.3565	0.6691	50.0	
1.23	0.9587	0.0	0.0413	1.0	0.0	2.3233	0.6677	50.0	
1.24	0.9571	0.0	0.0429	1.0	0.0	2.2898	0.6666	50.0	
1.25	0.9573	0.0	0.0427	1.0	0.0	2.2562	0.6657	50.0	
1.26	0.9565	0.0	0.0435	1.0	0.0	2.2224	0.665	50.0	
1.27	0.9561	0.0	0.0439	1.0	0.0	2.1883	0.6644	50.0	
1.28	0.9558	0.0	0.0442	1.0	0.0	2.1539	0.6641	50.0	
1.29	0.954	0.0	0.046	1.0	0.0	2.1192	0.6638	50.0	
1.3	0.9518	0.0	0.0482	1.0	0.0	2.0841	0.6636	50.0	
1.31	0.951	0.0	0.049	1.0	0.0	2.0487	0.6636	50.0	
1.32	0.9532	0.0	0.0468	1.0	0.0	2.0131	0.6635	50.0	
1.33	0.9511	0.0	0.0489	1.0	0.0	1.9773	0.6635	50.0	
1.34	0.9506	0.0	0.0494	1.0	0.0	1.9414	0.6635	50.0	
1.35	0.9496	0.0	0.0504	1.0	0.0	1.9054	0.6635	50.0	
1.36	0.9498	0.0	0.0502	1.0	0.0	1.8694	0.6634	50.0	
1.37	0.9468	0.0	0.0532	1.0	0.0	1.8335	0.6633	50.0	
1.38	0.9469	0.0	0.0531	1.0	0.0	1.7978	0.6631	50.0	
1.39	0.9456	0.0	0.0544	1.0	0.0	1.7622	0.6628	50.0	
1.4	0.9443	0.0	0.0557	1.0	0.0	1.727	0.6623	50.0	
1.41	0.9435	0.0	0.0565	1.0	0.0	1.6921	0.6618	50.0	
1.42	0.9437	0.0	0.0563	1.0	0.0	1.6576	0.661	50.0	
1.43	0.9424	0.0	0.0576	1.0	0.0	1.6236	0.6601	50.0	
1.44	0.9401	0.0	0.0599	1.0	0.0	1.5901	0.659	50.0	
1.45	0.9397	0.0	0.0603	1.0	0.0	1.5572	0.6577	50.0	
1.46	0.9408	0.0	0.0592	1.0	0.0	1.525	0.6563	50.0	
1.47	0.9381	0.0	0.0619	1.0	0.0	1.4934	0.6546	50.0	
1.48	0.9371	0.0	0.0629	1.0	0.0	1.4625	0.6527	50.0	
1.49	0.9364	0.0	0.0636	1.0	0.0	1.4323	0.6506	50.0	
1.5	0.9349	0.0	0.0651	1.0	0.0	1.4028	0.6482	50.0	
1.51	0.933	0.0	0.067	1.0	0.0	1.3741	0.6457	50.0	
1.52	0.9338	0.0	0.0662	1.0	0.0	1.3462	0.6429	50.0	
1.53	0.933	0.0	0.067	1.0	0.0	1.319	0.64	50.0	
1.54	0.9331	0.0	0.0669	1.0	0.0	1.2926	0.6368	50.0	
1.55	0.931	0.0	0.069	1.0	0.0	1.267	0.6334	50.0	
1.56	0.931	0.0	0.069	1.0	0.0	1.2421	0.6298	50.0	
1.57	0.9304	0.0	0.0696	1.0	0.0	1.2179	0.626	50.0	
1.58	0.9316	0.0	0.0684	1.0	0.0	1.1944	0.6221	50.0	
