Sim 2

Solar R: 0.9524
Solar A: 0.0
Solar T: 0.0476

Wavelength	R	A	T
0.25	0.9623	0.0	0.0377	
0.26	0.9704	0.0	0.0296	
0.27	0.9662	0.0	0.0338	
0.28	0.9745	0.0	0.0255	
0.29	0.9696	0.0	0.0304	
0.3	0.974	0.0	0.026	
0.31	0.9757	0.0	0.0243	
0.32	0.9738	0.0	0.0262	
0.33	0.9792	0.0	0.0208	
0.34	0.9768	0.0	0.0232	
0.35	0.9727	0.0	0.0273	
0.36	0.9764	0.0	0.0236	
0.37	0.9766	0.0	0.0234	
0.38	0.9739	0.0	0.0261	
0.39	0.9734	0.0	0.0266	
0.4	0.9762	0.0	0.0238	
0.41	0.9769	0.0	0.0231	
0.42	0.9739	0.0	0.0261	
0.43	0.9726	0.0	0.0274	
0.44	0.9718	0.0	0.0282	
0.45	0.974	0.0	0.026	
0.46	0.9737	0.0	0.0263	
0.47	0.9728	0.0	0.0272	
0.48	0.9722	0.0	0.0278	
0.49	0.9708	0.0	0.0292	
0.5	0.97	0.0	0.03	
0.51	0.9702	0.0	0.0298	
0.52	0.9692	0.0	0.0308	
0.53	0.9696	0.0	0.0304	
0.54	0.9693	0.0	0.0307	
0.55	0.9688	0.0	0.0312	
0.56	0.9671	0.0	0.0329	
0.57	0.9675	0.0	0.0325	
0.58	0.9673	0.0	0.0327	
0.59	0.967	0.0	0.033	
0.6	0.9661	0.0	0.0339	
0.61	0.966	0.0	0.034	
0.62	0.9658	0.0	0.0342	
0.63	0.9663	0.0	0.0337	
0.64	0.967	0.0	0.0331	
0.65	0.9658	0.0	0.0342	
0.66	0.9661	0.0	0.0339	
0.67	0.9668	0.0	0.0332	
0.68	0.9654	0.0	0.0346	
0.69	0.9648	0.0	0.0352	
0.7	0.9648	0.0	0.0352	
0.71	0.9649	0.0	0.0351	
0.72	0.9646	0.0	0.0354	
0.73	0.9631	0.0	0.0369	
0.74	0.9625	0.0	0.0375	
0.75	0.962	0.0	0.038	
0.76	0.9614	0.0	0.0386	
0.77	0.9611	0.0	0.0389	
0.78	0.961	0.0	0.039	
0.79	0.9608	0.0	0.0392	
0.8	0.9601	0.0	0.0399	
0.81	0.9603	0.0	0.0397	
0.82	0.9608	0.0	0.0392	
0.83	0.9603	0.0	0.0397	
0.84	0.9606	0.0	0.0394	
0.85	0.9608	0.0	0.0392	
0.86	0.9608	0.0	0.0392	
0.87	0.9625	0.0	0.0375	
0.88	0.9615	0.0	0.0385	
0.89	0.961	0.0	0.039	
0.9	0.9622	0.0	0.0378	
0.91	0.9614	0.0	0.0386	
0.92	0.9595	0.0	0.0405	
0.93	0.9593	0.0	0.0407	
0.94	0.96	0.0	0.04	
0.95	0.9592	0.0	0.0408	
0.96	0.9592	0.0	0.0408	
0.97	0.9592	0.0	0.0408	
0.98	0.9565	0.0	0.0435	
0.99	0.9563	0.0	0.0437	
1.0	0.9576	0.0	0.0424	
1.01	0.9583	0.0	0.0417	
1.02	0.9562	0.0	0.0438	
1.03	0.9578	0.0	0.0422	
1.04	0.9553	0.0	0.0447	
1.05	0.956	0.0	0.044	
1.06	0.9567	0.0	0.0433	
1.07	0.9546	0.0	0.0454	
1.08	0.9551	0.0	0.0449	
1.09	0.9548	0.0	0.0452	
1.1	0.9549	0.0	0.0451	
1.11	0.9548	0.0	0.0452	
1.12	0.9536	0.0	0.0464	
1.13	0.9543	0.0	0.0457	
1.14	0.9532	0.0	0.0468	
1.15	0.9544	0.0	0.0456	
1.16	0.9516	0.0	0.0484	
1.17	0.9543	0.0	0.0457	
1.18	0.9524	0.0	0.0476	
1.19	0.9506	0.0	0.0494	
1.2	0.9508	0.0	0.0492	
1.21	0.9501	0.0	0.0499	
1.22	0.9488	0.0	0.0512	
1.23	0.9476	0.0	0.0524	
1.24	0.9481	0.0	0.0519	
1.25	0.9472	0.0	0.0528	
1.26	0.9433	0.0	0.0567	
1.27	0.9423	0.0	0.0577	
1.28	0.9414	0.0	0.0586	
1.29	0.9398	0.0	0.0602	
1.3	0.939	0.0	0.061	
1.31	0.9394	0.0	0.0606	
1.32	0.9356	0.0	0.0644	
1.33	0.935	0.0	0.065	
1.34	0.9324	0.0	0.0676	
1.35	0.9319	0.0	0.0681	
1.36	0.93	0.0	0.07	
1.37	0.9269	0.0	0.0731	
1.38	0.9256	0.0	0.0744	
1.39	0.9243	0.0	0.0757	
1.4	0.9208	0.0	0.0792	
1.41	0.9196	0.0	0.0804	
1.42	0.9166	0.0	0.0834	
1.43	0.9144	0.0	0.0856	
1.44	0.9136	0.0	0.0864	
1.45	0.9096	0.0	0.0904	
1.46	0.9052	0.0	0.0948	
1.47	0.9053	0.0	0.0947	
1.48	0.9036	0.0	0.0964	
1.49	0.8992	0.0	0.1008	
1.5	0.8986	0.0	0.1014	
1.51	0.896	0.0	0.104	
1.52	0.8909	0.0	0.1091	
1.53	0.8924	0.0	0.1076	
1.54	0.8885	0.0	0.1115	
1.55	0.8875	0.0	0.1125	
1.56	0.8851	0.0	0.1149	
1.57	0.8823	0.0	0.1177	
1.58	0.8801	0.0	0.1199	
1.59	0.8806	0.0	0.1194	
1.6	0.8799	0.0	0.1201	
1.61	0.8754	0.0	0.1246	
1.62	0.874	0.0	0.126	
1.63	0.8724	0.0	0.1276	
1.64	0.8724	0.0	0.1276	
1.65	0.8723	0.0	0.1277	
1.66	0.8683	0.0	0.1317	
1.67	0.8676	0.0	0.1324	
1.68	0.8659	0.0	0.1341	
1.69	0.8677	0.0	0.1323	
1.7	0.8655	0.0	0.1345	
1.71	0.8637	0.0	0.1363	
1.72	0.864	0.0	0.136	
1.73	0.8627	0.0	0.1373	
1.74	0.8606	0.0	0.1394	
1.75	0.8616	0.0	0.1384	
1.76	0.8608	0.0	0.1391	
1.77	0.8607	0.0	0.1392	
1.78	0.8613	0.0	0.1387	
1.79	0.8586	0.0	0.1414	
1.8	0.8578	0.0	0.1422	
1.81	0.8586	0.0	0.1414	
1.82	0.8581	0.0	0.1419	
1.83	0.8577	0.0	0.1423	
1.84	0.8573	0.0	0.1426	
1.85	0.857	0.0	0.143	
1.86	0.8565	0.0	0.1435	
1.87	0.8584	0.0	0.1416	
1.88	0.855	0.0	0.145	
1.89	0.8549	0.0	0.1451	
1.9	0.8568	0.0	0.1432	
1.91	0.8539	0.0	0.1461	
1.92	0.8527	0.0	0.1472	
1.93	0.8529	0.0	0.1471	
1.94	0.8517	0.0	0.1483	
1.95	0.853	0.0001	0.147	
1.96	0.8508	0.0001	0.1491	
1.97	0.8516	0.0001	0.1483	
1.98	0.8529	0.0001	0.1471	
1.99	0.8508	0.0001	0.1491	
2.0	0.8491	0.0001	0.1509	
2.01	0.8498	0.0001	0.1501	
2.02	0.8487	0.0001	0.1513	
2.03	0.8485	0.0001	0.1514	
2.04	0.8463	0.0001	0.1537	
2.05	0.8472	0.0001	0.1527	
2.06	0.8456	0.0001	0.1543	
2.07	0.8455	0.0001	0.1544	
2.08	0.8444	0.0001	0.1555	
2.09	0.8449	0.0001	0.155	
2.1	0.8426	0.0001	0.1573	
2.11	0.8439	0.0001	0.156	
2.12	0.8425	0.0001	0.1574	
2.13	0.8406	0.0001	0.1593	
2.14	0.8412	0.0001	0.1587	
2.15	0.8411	0.0001	0.1588	
2.16	0.8372	0.0001	0.1627	
2.17	0.8393	0.0001	0.1605	
2.18	0.8369	0.0001	0.163	
2.19	0.8368	0.0001	0.1631	
2.2	0.8364	0.0001	0.1634	
2.21	0.8352	0.0001	0.1647	
2.22	0.8347	0.0001	0.1652	
2.23	0.8319	0.0002	0.1679	
2.24	0.8312	0.0002	0.1686	
2.25	0.8306	0.0002	0.1692	
2.26	0.8286	0.0002	0.1712	
2.27	0.8296	0.0002	0.1702	
2.28	0.8276	0.0002	0.1722	
2.29	0.8269	0.0002	0.1729	
2.3	0.8261	0.0002	0.1737	
2.31	0.8235	0.0002	0.1763	
2.32	0.8238	0.0002	0.176	
2.33	0.8214	0.0002	0.1784	
2.34	0.8207	0.0002	0.1791	
2.35	0.8191	0.0002	0.1806	
2.36	0.8195	0.0002	0.1802	
2.37	0.8165	0.0003	0.1833	
2.38	0.8169	0.0003	0.1828	
2.39	0.816	0.0003	0.1837	
2.4	0.8138	0.0003	0.1859	
2.41	0.8128	0.0003	0.1869	
2.42	0.8127	0.0003	0.187	
2.43	0.8115	0.0003	0.1882	
2.44	0.8085	0.0003	0.1912	
2.45	0.8068	0.0003	0.1929	
2.46	0.8042	0.0004	0.1954	
2.47	0.8075	0.0004	0.1922	
2.48	0.8004	0.0004	0.1992	
2.49	0.7998	0.0004	0.1999	
2.5	0.8006	0.0004	0.199	
2.5	0.8002	0.0004	0.1994	

Input file:
mc
output:fig6a
particle1:sio2.txt
particle2:air.txt
matrix1:air.txt
mesh:1
solar:am15.txt
photons:100000
start=0.25
end=2.5

sim2
upper:1
lower:1
layer1
matrix1
t:50
particle2
c:0.5
particle1
s:0.2
vf:60
