Sim 3

Solar R: 0.9611
Solar A: 0.0
Solar T: 0.0389

Wavelength	R	A	T
1.92	0.9166	0.0001	0.0833	
1.93	0.9143	0.0001	0.0856	
1.94	0.9136	0.0001	0.0863	
1.95	0.9139	0.0001	0.0861	
1.96	0.9128	0.0001	0.0871	
1.97	0.9118	0.0001	0.0882	
1.98	0.9122	0.0001	0.0877	
1.99	0.9121	0.0001	0.0878	
2.0	0.9102	0.0001	0.0897	
2.01	0.9117	0.0001	0.0882	
2.02	0.9101	0.0001	0.0898	
2.03	0.9101	0.0001	0.0898	
2.04	0.91	0.0001	0.0899	
2.05	0.9093	0.0001	0.0906	
2.06	0.9103	0.0001	0.0895	
2.07	0.9101	0.0001	0.0898	
2.08	0.9112	0.0001	0.0887	
2.09	0.9103	0.0001	0.0896	
2.1	0.9089	0.0001	0.091	
2.11	0.9079	0.0001	0.092	
2.12	0.9078	0.0001	0.092	
2.13	0.9081	0.0002	0.0917	
2.14	0.908	0.0002	0.0919	
2.15	0.9068	0.0002	0.0931	
2.16	0.9076	0.0002	0.0922	
2.17	0.9076	0.0002	0.0922	
2.18	0.9061	0.0002	0.0937	
2.19	0.9073	0.0002	0.0925	
2.2	0.906	0.0002	0.0938	
2.21	0.9047	0.0002	0.0951	
2.22	0.9054	0.0002	0.0944	
2.23	0.9039	0.0002	0.0959	
2.24	0.9039	0.0002	0.0959	
2.25	0.9036	0.0002	0.0961	
2.26	0.904	0.0002	0.0958	
2.27	0.9037	0.0003	0.0961	
2.28	0.9036	0.0003	0.0962	
2.29	0.9031	0.0003	0.0966	
2.3	0.9026	0.0003	0.0972	
2.31	0.9032	0.0003	0.0965	
2.32	0.9005	0.0003	0.0992	
2.33	0.9026	0.0003	0.0971	
2.34	0.9035	0.0003	0.0962	
2.35	0.9023	0.0003	0.0974	
2.36	0.9015	0.0003	0.0981	
2.37	0.9008	0.0004	0.0989	
2.38	0.8996	0.0004	0.1001	
2.39	0.8991	0.0004	0.1005	
2.4	0.8994	0.0004	0.1002	
2.41	0.9006	0.0004	0.099	
2.42	0.8983	0.0004	0.1013	
2.43	0.8998	0.0004	0.0998	
2.44	0.8982	0.0005	0.1014	
2.45	0.8966	0.0005	0.1029	
2.46	0.8953	0.0005	0.1042	
2.47	0.8964	0.0005	0.1031	
2.48	0.8956	0.0005	0.1038	
2.49	0.8953	0.0005	0.1042	
2.5	0.8944	0.0006	0.105	
2.5	0.8947	0.0006	0.1048	

Input file:
mc
output:fig6b
particle1:sio2.txt
particle2:air.txt
matrix1:air.txt
mesh:1
solar:am15.txt
photons:100000
start=0.25
end=2.5

sim3
upper:1
lower:1
layer1
matrix1
t:50
particle1
d:1.1
vf:60
