Sim 2

Solar R: 0.9526
Solar A: 0.0
Solar T: 0.0474

WL	R	A	T	n(1)	mu_a(1)	mu_s(1)	g(1)	t(1)
1.01	0.9573	0.0	0.0427	1.0	0.0	2.4028	0.6866	50.0	
1.02	0.9559	0.0	0.0441	1.0	0.0	2.3473	0.6817	50.0	
1.03	0.956	0.0	0.044	1.0	0.0	2.294	0.6765	50.0	
1.04	0.9561	0.0	0.0439	1.0	0.0	2.2432	0.6712	50.0	
1.05	0.9554	0.0	0.0446	1.0	0.0	2.1949	0.6658	50.0	
1.06	0.953	0.0	0.047	1.0	0.0	2.1493	0.6604	50.0	
1.07	0.9552	0.0	0.0448	1.0	0.0	2.1061	0.655	50.0	
1.08	0.955	0.0	0.045	1.0	0.0	2.0654	0.6498	50.0	
1.09	0.9548	0.0	0.0452	1.0	0.0	2.0269	0.6448	50.0	
1.1	0.9547	0.0	0.0453	1.0	0.0	1.9905	0.64	50.0	
1.11	0.9551	0.0	0.0449	1.0	0.0	1.956	0.6356	50.0	
1.12	0.9546	0.0	0.0454	1.0	0.0	1.923	0.6316	50.0	
1.13	0.9539	0.0	0.0461	1.0	0.0	1.8915	0.6279	50.0	
1.14	0.9538	0.0	0.0462	1.0	0.0	1.8612	0.6246	50.0	
1.15	0.9531	0.0	0.0469	1.0	0.0	1.8318	0.6218	50.0	
1.16	0.9524	0.0	0.0476	1.0	0.0	1.8032	0.6194	50.0	
1.17	0.9527	0.0	0.0473	1.0	0.0	1.7752	0.6174	50.0	
1.18	0.9522	0.0	0.0478	1.0	0.0	1.7477	0.6159	50.0	
1.19	0.9516	0.0	0.0484	1.0	0.0	1.7204	0.6148	50.0	
1.2	0.9489	0.0	0.0511	1.0	0.0	1.6934	0.6141	50.0	
1.21	0.9498	0.0	0.0502	1.0	0.0	1.6664	0.6137	50.0	
1.22	0.9485	0.0	0.0515	1.0	0.0	1.6394	0.6138	50.0	
1.23	0.948	0.0	0.052	1.0	0.0	1.6123	0.6142	50.0	
1.24	0.9464	0.0	0.0536	1.0	0.0	1.5851	0.6149	50.0	
1.25	0.947	0.0	0.053	1.0	0.0	1.5577	0.6159	50.0	
1.26	0.9461	0.0	0.0539	1.0	0.0	1.5302	0.6172	50.0	
1.27	0.944	0.0	0.056	1.0	0.0	1.5025	0.6188	50.0	
1.28	0.9416	0.0	0.0584	1.0	0.0	1.4746	0.6206	50.0	
1.29	0.9404	0.0	0.0596	1.0	0.0	1.4466	0.6225	50.0	
1.3	0.9396	0.0	0.0604	1.0	0.0	1.4185	0.6247	50.0	
1.31	0.9371	0.0	0.0629	1.0	0.0	1.3903	0.627	50.0	
1.32	0.9363	0.0	0.0637	1.0	0.0	1.362	0.6293	50.0	
1.33	0.936	0.0	0.064	1.0	0.0	1.3338	0.6318	50.0	
1.34	0.9337	0.0	0.0663	1.0	0.0	1.3056	0.6344	50.0	
1.35	0.9323	0.0	0.0677	1.0	0.0	1.2776	0.6369	50.0	
1.36	0.9288	0.0	0.0712	1.0	0.0	1.2498	0.6395	50.0	
1.37	0.928	0.0	0.072	1.0	0.0	1.2222	0.6421	50.0	
1.38	0.9242	0.0	0.0758	1.0	0.0	1.1948	0.6446	50.0	
1.39	0.9244	0.0	0.0756	1.0	0.0	1.1678	0.647	50.0	
1.4	0.9212	0.0	0.0788	1.0	0.0	1.1411	0.6494	50.0	
1.41	0.9204	0.0	0.0796	1.0	0.0	1.1148	0.6516	50.0	
1.42	0.917	0.0	0.083	1.0	0.0	1.089	0.6538	50.0	
1.43	0.9148	0.0	0.0853	1.0	0.0	1.0637	0.6557	50.0	
1.44	0.9144	0.0	0.0856	1.0	0.0	1.0389	0.6576	50.0	
1.45	0.9082	0.0	0.0918	1.0	0.0	1.0147	0.6592	50.0	
1.46	0.9086	0.0	0.0914	1.0	0.0	0.991	0.6606	50.0	
1.47	0.9046	0.0	0.0954	1.0	0.0	0.9679	0.6619	50.0	
1.48	0.9022	0.0	0.0978	1.0	0.0	0.9454	0.6629	50.0	
1.49	0.9	0.0	0.1	1.0	0.0	0.9235	0.6637	50.0	
1.5	0.898	0.0	0.102	1.0	0.0	0.9021	0.6642	50.0	
1.51	0.8942	0.0	0.1058	1.0	0.0	0.8815	0.6645	50.0	
1.52	0.8942	0.0	0.1058	1.0	0.0	0.8614	0.6645	50.0	
1.53	0.8917	0.0	0.1083	1.0	0.0	0.842	0.6643	50.0	
1.54	0.887	0.0	0.113	1.0	0.0	0.8232	0.6639	50.0	
1.55	0.888	0.0	0.112	1.0	0.0	0.8049	0.6632	50.0	
1.56	0.8858	0.0	0.1142	1.0	0.0	0.7872	0.6622	50.0	
1.57	0.8843	0.0	0.1157	1.0	0.0	0.7701	0.661	50.0	
1.58	0.8822	0.0	0.1178	1.0	0.0	0.7536	0.6595	50.0	
1.59	0.8798	0.0	0.1202	1.0	0.0	0.7376	0.6578	50.0	
1.6	0.8774	0.0	0.1226	1.0	0.0	0.7222	0.6558	50.0	
1.61	0.8775	0.0	0.1225	1.0	0.0	0.7073	0.6536	50.0	
1.62	0.8746	0.0	0.1254	1.0	0.0	0.6929	0.6512	50.0	
1.63	0.8715	0.0	0.1285	1.0	0.0	0.6789	0.6486	50.0	
1.64	0.8716	0.0	0.1284	1.0	0.0	0.6655	0.6457	50.0	
1.65	0.8687	0.0	0.1313	1.0	0.0	0.6525	0.6426	50.0	
1.66	0.8699	0.0	0.1301	1.0	0.0	0.6399	0.6394	50.0	
1.67	0.8687	0.0	0.1313	1.0	0.0	0.6278	0.6359	50.0	
1.68	0.8682	0.0	0.1318	1.0	0.0	0.616	0.6323	50.0	
1.69	0.8659	0.0	0.1341	1.0	0.0	0.6047	0.6285	50.0	
1.7	0.863	0.0	0.137	1.0	0.0	0.5937	0.6246	50.0	
1.71	0.8635	0.0	0.1365	1.0	0.0	0.583	0.6205	50.0	
1.72	0.8631	0.0	0.1369	1.0	0.0	0.5727	0.6162	50.0	
1.73	0.8638	0.0	0.1362	1.0	0.0	0.5627	0.6119	50.0	
1.74	0.8631	0.0	0.1369	1.0	0.0	0.553	0.6074	50.0	
1.75	0.8622	0.0	0.1378	1.0	0.0	0.5437	0.6028	50.0	
1.76	0.862	0.0	0.138	1.0	0.0	0.5345	0.5982	50.0	
1.77	0.8601	0.0	0.1399	1.0	0.0	0.5257	0.5934	50.0	
1.78	0.8598	0.0	0.1402	1.0	0.0	0.5171	0.5886	50.0	
1.79	0.8587	0.0	0.1413	1.0	0.0	0.5088	0.5836	50.0	
1.8	0.8584	0.0	0.1416	1.0	0.0	0.5007	0.5787	50.0	
1.81	0.8595	0.0	0.1405	1.0	0.0	0.4928	0.5737	50.0	
1.82	0.8574	0.0	0.1426	1.0	0.0	0.4851	0.5686	50.0	
1.83	0.8559	0.0	0.1441	1.0	0.0	0.4777	0.5635	50.0	
1.84	0.8577	0.0	0.1422	1.0	0.0	0.4704	0.5584	50.0	
1.85	0.8534	0.0	0.1466	1.0	0.0	0.4633	0.5532	50.0	
1.86	0.8568	0.0	0.1432	1.0	0.0	0.4564	0.548	50.0	
1.87	0.8575	0.0	0.1424	1.0	0.0	0.4497	0.5428	50.0	
1.88	0.8556	0.0	0.1444	1.0	0.0	0.4431	0.5377	50.0	
1.89	0.8559	0.0	0.144	1.0	0.0	0.4367	0.5325	50.0	
1.9	0.8527	0.0	0.1472	1.0	0.0	0.4304	0.5273	50.0	
1.91	0.8562	0.0	0.1437	1.0	0.0	0.4243	0.5221	50.0	
1.92	0.8526	0.0	0.1473	1.0	0.0	0.4183	0.5169	50.0	
1.93	0.8529	0.0	0.147	1.0	0.0	0.4124	0.5118	50.0	
1.94	0.8534	0.0	0.1465	1.0	0.0	0.4067	0.5067	50.0	
1.95	0.8528	0.0001	0.1471	1.0	0.0	0.401	0.5016	50.0	
1.96	0.8526	0.0001	0.1474	1.0	0.0	0.3955	0.4965	50.0	
1.97	0.8509	0.0001	0.149	1.0	0.0	0.3901	0.4915	50.0	
1.98	0.8489	0.0001	0.151	1.0	0.0	0.3848	0.4865	50.0	
1.99	0.85	0.0001	0.1499	1.0	0.0	0.3796	0.4815	50.0	
2.0	0.8474	0.0001	0.1525	1.0	0.0	0.3745	0.4766	50.0	
2.01	0.8507	0.0001	0.1492	1.0	0.0	0.3695	0.4717	50.0	
2.02	0.8484	0.0001	0.1515	1.0	0.0	0.3646	0.4669	50.0	
2.03	0.8478	0.0001	0.1521	1.0	0.0	0.3598	0.4621	50.0	
2.04	0.8469	0.0001	0.153	1.0	0.0	0.3551	0.4573	50.0	
2.05	0.8463	0.0001	0.1536	1.0	0.0	0.3504	0.4526	50.0	
2.06	0.8431	0.0001	0.1568	1.0	0.0	0.3458	0.4479	50.0	
2.07	0.8478	0.0001	0.1521	1.0	0.0	0.3413	0.4433	50.0	
2.08	0.8447	0.0001	0.1552	1.0	0.0	0.3369	0.4387	50.0	
2.09	0.8425	0.0001	0.1574	1.0	0.0	0.3325	0.4342	50.0	
2.1	0.8438	0.0001	0.1561	1.0	0.0	0.3282	0.4298	50.0	
2.11	0.8438	0.0001	0.1561	1.0	0.0	0.324	0.4254	50.0	
2.12	0.8429	0.0001	0.157	1.0	0.0	0.3199	0.421	50.0	
2.13	0.8397	0.0001	0.1602	1.0	0.0	0.3158	0.4167	50.0	
2.14	0.8413	0.0001	0.1586	1.0	0.0	0.3118	0.4124	50.0	
2.15	0.8391	0.0001	0.1607	1.0	0.0	0.3078	0.4082	50.0	
2.16	0.8391	0.0001	0.1607	1.0	0.0	0.3039	0.4041	50.0	
2.17	0.8395	0.0001	0.1604	1.0	0.0	0.3	0.4	50.0	
2.18	0.8367	0.0001	0.1631	1.0	0.0	0.2963	0.3959	50.0	
2.19	0.8356	0.0001	0.1643	1.0	0.0	0.2925	0.3919	50.0	
2.2	0.8352	0.0001	0.1646	1.0	0.0	0.2888	0.388	50.0	
2.21	0.8333	0.0001	0.1666	1.0	0.0	0.2852	0.3841	50.0	
2.22	0.835	0.0001	0.1649	1.0	0.0	0.2816	0.3802	50.0	
2.23	0.8343	0.0002	0.1655	1.0	0.0	0.2781	0.3765	50.0	
2.24	0.8319	0.0002	0.168	1.0	0.0	0.2746	0.3727	50.0	
2.25	0.8319	0.0002	0.1679	1.0	0.0	0.2712	0.369	50.0	
2.26	0.8324	0.0002	0.1675	1.0	0.0	0.2678	0.3654	50.0	
2.27	0.8278	0.0002	0.172	1.0	0.0	0.2645	0.3618	50.0	
2.28	0.8297	0.0002	0.1701	1.0	0.0	0.2612	0.3582	50.0	
2.29	0.8285	0.0002	0.1713	1.0	0.0	0.258	0.3547	50.0	
2.3	0.8235	0.0002	0.1763	1.0	0.0	0.2548	0.3513	50.0	
2.31	0.8241	0.0002	0.1757	1.0	0.0	0.2516	0.3479	50.0	
2.32	0.8253	0.0002	0.1745	1.0	0.0	0.2485	0.3445	50.0	
2.33	0.8224	0.0002	0.1774	1.0	0.0	0.2455	0.3412	50.0	
2.34	0.8221	0.0002	0.1777	1.0	0.0	0.2424	0.338	50.0	
2.35	0.8196	0.0002	0.1802	1.0	0.0	0.2394	0.3347	50.0	
2.36	0.8188	0.0002	0.181	1.0	0.0	0.2365	0.3316	50.0	
2.37	0.8183	0.0003	0.1815	1.0	0.0	0.2336	0.3284	50.0	
2.38	0.8177	0.0003	0.182	1.0	0.0	0.2307	0.3253	50.0	
2.39	0.8157	0.0003	0.1841	1.0	0.0	0.2279	0.3223	50.0	
2.4	0.8134	0.0003	0.1863	1.0	0.0	0.2251	0.3193	50.0	
2.41	0.8097	0.0003	0.19	1.0	0.0	0.2224	0.3163	50.0	
2.42	0.8145	0.0003	0.1851	1.0	0.0	0.2196	0.3134	50.0	
2.43	0.8106	0.0003	0.1891	1.0	0.0	0.217	0.3105	50.0	
2.44	0.8084	0.0003	0.1913	1.0	0.0	0.2143	0.3076	50.0	
2.45	0.8079	0.0003	0.1917	1.0	0.0	0.2117	0.3048	50.0	
2.46	0.8039	0.0004	0.1957	1.0	0.0	0.2091	0.3021	50.0	
2.47	0.8063	0.0004	0.1933	1.0	0.0	0.2066	0.2993	50.0	
2.48	0.804	0.0004	0.1956	1.0	0.0	0.2041	0.2966	50.0	
2.49	0.8028	0.0004	0.1968	1.0	0.0	0.2016	0.294	50.0	
2.5	0.8018	0.0004	0.1978	1.0	0.0	0.1992	0.2914	50.0	

Input file:
mc
output:out1
particle1:sio2.txt
particle2:air.txt
matrix1:air.txt
solar:am15.txt
photons:100000
start:0.25
end:2.5
interval:0.01

sim2
layer1
matrix1
t:50
particle2
c:0.5
particle1
s:0.2
vf:60
