Sim 3

Solar R: 0.9571
Solar A: 0.0
Solar T: 0.0429

WL	R	A	T	n(1)	mu_a(1)	mu_s(1)	g(1)	t(1)
0.25	0.9631	0.0	0.0369	1.0	0.0	4.1303	0.785	50.0	
0.26	0.9585	0.0	0.0415	1.0	0.0	3.528	0.7783	50.0	
0.27	0.954	0.0	0.046	1.0	0.0	3.0624	0.7659	50.0	
0.28	0.9685	0.0	0.0315	1.0	0.0	2.9548	0.6414	50.0	
0.29	0.9661	0.0	0.0339	1.0	0.0	2.466	0.6175	50.0	
0.3	0.9646	0.0	0.0354	1.0	0.0	2.0762	0.5466	50.0	
0.31	0.9671	0.0	0.0329	1.0	0.0	2.0168	0.5138	50.0	
0.32	0.972	0.0	0.028	1.0	0.0	1.9134	0.4043	50.0	
0.33	0.9648	0.0	0.0352	1.0	0.0	1.7992	0.4832	50.0	
0.34	0.971	0.0	0.029	1.0	0.0	2.1082	0.4586	50.0	
0.35	0.9649	0.0	0.0351	1.0	0.0	1.8982	0.5201	50.0	
0.36	0.966	0.0	0.034	1.0	0.0	2.3377	0.5804	50.0	
0.37	0.9722	0.0	0.0278	1.0	0.0	2.718	0.5544	50.0	
0.38	0.9664	0.0	0.0336	1.0	0.0	2.6103	0.6264	50.0	
0.39	0.9649	0.0	0.0351	1.0	0.0	3.0784	0.6882	50.0	
0.4	0.9708	0.0	0.0292	1.0	0.0	3.5763	0.6825	50.0	
0.41	0.972	0.0	0.028	1.0	0.0	3.5758	0.6838	50.0	
0.42	0.9665	0.0	0.0335	1.0	0.0	3.7345	0.735	50.0	
0.43	0.9682	0.0	0.0318	1.0	0.0	4.1741	0.756	50.0	
0.44	0.9713	0.0	0.0287	1.0	0.0	4.5579	0.7468	50.0	
0.45	0.9724	0.0	0.0276	1.0	0.0	4.5676	0.7387	50.0	
0.46	0.9686	0.0	0.0314	1.0	0.0	4.5607	0.7612	50.0	
0.47	0.9676	0.0	0.0324	1.0	0.0	4.8061	0.7831	50.0	
0.48	0.9701	0.0	0.0299	1.0	0.0	5.1338	0.7914	50.0	
0.49	0.971	0.0	0.029	1.0	0.0	5.3666	0.7868	50.0	
0.5	0.9722	0.0	0.0278	1.0	0.0	5.3553	0.7812	50.0	
0.51	0.9711	0.0	0.0289	1.0	0.0	5.2747	0.7884	50.0	
0.52	0.9683	0.0	0.0317	1.0	0.0	5.3362	0.8018	50.0	
0.53	0.968	0.0	0.032	1.0	0.0	5.5081	0.8129	50.0	
0.54	0.9677	0.0	0.0323	1.0	0.0	5.7036	0.8187	50.0	
0.55	0.9692	0.0	0.0308	1.0	0.0	5.8341	0.8189	50.0	
0.56	0.969	0.0	0.031	1.0	0.0	5.8293	0.8161	50.0	
0.57	0.9684	0.0	0.0316	1.0	0.0	5.724	0.8153	50.0	
0.58	0.9685	0.0	0.0315	1.0	0.0	5.6353	0.8186	50.0	
0.59	0.9678	0.0	0.0322	1.0	0.0	5.6209	0.8239	50.0	
0.6	0.9659	0.0	0.0341	1.0	0.0	5.6676	0.829	50.0	
0.61	0.9662	0.0	0.0338	1.0	0.0	5.7405	0.8327	50.0	
0.62	0.9667	0.0	0.0333	1.0	0.0	5.8027	0.8344	50.0	
0.63	0.9656	0.0	0.0344	1.0	0.0	5.8199	0.834	50.0	
0.64	0.9664	0.0	0.0336	1.0	0.0	5.7717	0.8319	50.0	
0.65	0.9665	0.0	0.0335	1.0	0.0	5.6666	0.8293	50.0	
0.66	0.9669	0.0	0.0331	1.0	0.0	5.5411	0.8273	50.0	
0.67	0.9661	0.0	0.0339	1.0	0.0	5.432	0.8266	50.0	
0.68	0.9652	0.0	0.0348	1.0	0.0	5.357	0.827	50.0	
0.69	0.9643	0.0	0.0357	1.0	0.0	5.3154	0.8282	50.0	
0.7	0.9638	0.0	0.0362	1.0	0.0	5.2969	0.8299	50.0	
0.71	0.9626	0.0	0.0374	1.0	0.0	5.2888	0.8316	50.0	
0.72	0.9615	0.0	0.0385	1.0	0.0	5.2778	0.833	50.0	
0.73	0.9632	0.0	0.0368	1.0	0.0	5.2521	0.8339	50.0	
0.74	0.9623	0.0	0.0377	1.0	0.0	5.203	0.834	50.0	
0.75	0.9607	0.0	0.0393	1.0	0.0	5.1268	0.8332	50.0	
0.76	0.9614	0.0	0.0386	1.0	0.0	5.0269	0.8316	50.0	
0.77	0.9617	0.0	0.0383	1.0	0.0	4.9119	0.8293	50.0	
0.78	0.9606	0.0	0.0394	1.0	0.0	4.7932	0.8266	50.0	
0.79	0.9593	0.0	0.0407	1.0	0.0	4.6808	0.8237	50.0	
0.8	0.9593	0.0	0.0407	1.0	0.0	4.5812	0.8208	50.0	
0.81	0.9611	0.0	0.0389	1.0	0.0	4.4969	0.8182	50.0	
0.82	0.9599	0.0	0.0401	1.0	0.0	4.4271	0.8159	50.0	
0.83	0.9602	0.0	0.0398	1.0	0.0	4.3694	0.8139	50.0	
