Sim 3

Solar R: 0.9611
Solar A: 0.0
Solar T: 0.0389

WL	R	A	T	n(1)	mu_a(1)	mu_s(1)	g(1)	t(1)
0.25	0.9601	0.0	0.0399	1.0	0.0	3.4909	0.7582	50.0	
0.26	0.9565	0.0	0.0435	1.0	0.0	3.5965	0.7835	50.0	
0.27	0.9522	0.0	0.0478	1.0	0.0	3.768	0.8168	50.0	
0.28	0.9693	0.0	0.0307	1.0	0.0	4.0702	0.7409	50.0	
0.29	0.9637	0.0	0.0363	1.0	0.0	3.8135	0.7632	50.0	
0.3	0.9651	0.0	0.0349	1.0	0.0	3.4614	0.7321	50.0	
0.31	0.9654	0.0	0.0346	1.0	0.0	3.3122	0.7183	50.0	
0.32	0.9692	0.0	0.0308	1.0	0.0	3.0544	0.6488	50.0	
0.33	0.963	0.0	0.037	1.0	0.0	2.7184	0.6749	50.0	
0.34	0.9719	0.0	0.0281	1.0	0.0	2.7607	0.5903	50.0	
0.35	0.9642	0.0	0.0358	1.0	0.0	2.2702	0.5966	50.0	
0.36	0.9666	0.0	0.0334	1.0	0.0	2.4149	0.5971	50.0	
0.37	0.9733	0.0	0.0267	1.0	0.0	2.5368	0.5214	50.0	
0.38	0.9662	0.0	0.0338	1.0	0.0	2.2098	0.5462	50.0	
0.39	0.9664	0.0	0.0336	1.0	0.0	2.4601	0.5991	50.0	
0.4	0.971	0.0	0.029	1.0	0.0	2.7695	0.5855	50.0	
0.41	0.9713	0.0	0.0287	1.0	0.0	2.6402	0.5655	50.0	
0.42	0.9668	0.0	0.0332	1.0	0.0	2.7096	0.6234	50.0	
0.43	0.969	0.0	0.031	1.0	0.0	3.0811	0.6603	50.0	
0.44	0.9713	0.0	0.0287	1.0	0.0	3.4211	0.6613	50.0	
0.45	0.972	0.0	0.028	1.0	0.0	3.4138	0.6559	50.0	
0.46	0.9688	0.0	0.0312	1.0	0.0	3.4123	0.6879	50.0	
0.47	0.9679	0.0	0.0321	1.0	0.0	3.6773	0.72	50.0	
0.48	0.9695	0.0	0.0305	1.0	0.0	4.0346	0.7346	50.0	
0.49	0.9709	0.0	0.0291	1.0	0.0	4.3054	0.7327	50.0	
0.5	0.9709	0.0	0.0291	1.0	0.0	4.3351	0.7283	50.0	
0.51	0.9707	0.0	0.0293	1.0	0.0	4.296	0.7395	50.0	
0.52	0.9682	0.0	0.0318	1.0	0.0	4.4021	0.7595	50.0	
0.53	0.9682	0.0	0.0318	1.0	0.0	4.6251	0.7763	50.0	
0.54	0.9683	0.0	0.0317	1.0	0.0	4.8794	0.7856	50.0	
0.55	0.9695	0.0	0.0305	1.0	0.0	5.0741	0.787	50.0	
0.56	0.9708	0.0	0.0292	1.0	0.0	5.1334	0.7837	50.0	
0.57	0.9698	0.0	0.0302	1.0	0.0	5.0869	0.7818	50.0	
0.58	0.9697	0.0	0.0303	1.0	0.0	5.0501	0.7845	50.0	
0.59	0.9698	0.0	0.0302	1.0	0.0	5.0835	0.7905	50.0	
0.6	0.9671	0.0	0.0329	1.0	0.0	5.1779	0.7976	50.0	
0.61	0.9684	0.0	0.0316	1.0	0.0	5.3012	0.8042	50.0	
0.62	0.9678	0.0	0.0322	1.0	0.0	5.4184	0.8093	50.0	
0.63	0.9678	0.0	0.0322	1.0	0.0	5.4945	0.8122	50.0	
0.64	0.9677	0.0	0.0323	1.0	0.0	5.5059	0.8131	50.0	
0.65	0.9679	0.0	0.0321	1.0	0.0	5.4577	0.8126	50.0	
0.66	0.9676	0.0	0.0324	1.0	0.0	5.3835	0.8117	50.0	
0.67	0.9672	0.0	0.0328	1.0	0.0	5.3194	0.811	50.0	
0.68	0.9669	0.0	0.0331	1.0	0.0	5.2835	0.8107	50.0	
0.69	0.967	0.0	0.033	1.0	0.0	5.2767	0.8107	50.0	
0.7	0.9666	0.0	0.0334	1.0	0.0	5.2905	0.811	50.0	
0.71	0.9668	0.0	0.0332	1.0	0.0	5.3136	0.8115	50.0	
0.72	0.9672	0.0	0.0328	1.0	0.0	5.3344	0.8121	50.0	
0.73	0.9677	0.0	0.0323	1.0	0.0	5.3418	0.8128	50.0	
0.74	0.9662	0.0	0.0338	1.0	0.0	5.3274	0.8134	50.0	
0.75	0.9664	0.0	0.0336	1.0	0.0	5.287	0.8139	50.0	
0.76	0.9667	0.0	0.0333	1.0	0.0	5.2232	0.8141	50.0	
0.77	0.9668	0.0	0.0332	1.0	0.0	5.1437	0.8142	50.0	
0.78	0.9651	0.0	0.0349	1.0	0.0	5.0592	0.8142	50.0	
0.79	0.9643	0.0	0.0357	1.0	0.0	4.9788	0.814	50.0	
0.8	0.9636	0.0	0.0364	1.0	0.0	4.9084	0.8138	50.0	
0.81	0.9649	0.0	0.0351	1.0	0.0	4.8504	0.8134	50.0	
0.82	0.9636	0.0	0.0364	1.0	0.0	4.8039	0.8128	50.0	
0.83	0.964	0.0	0.036	1.0	0.0	4.7666	0.8121	50.0	
0.84	0.9636	0.0	0.0365	1.0	0.0	4.7354	0.8112	50.0	
0.85	0.9638	0.0	0.0362	1.0	0.0	4.7069	0.8101	50.0	
0.86	0.9628	0.0	0.0372	1.0	0.0	4.678	0.8089	50.0	
0.87	0.9641	0.0	0.0359	1.0	0.0	4.6457	0.8076	50.0	
0.88	0.9637	0.0	0.0363	1.0	0.0	4.6078	0.8062	50.0	
0.89	0.9641	0.0	0.0359	1.0	0.0	4.5625	0.8047	50.0	
0.9	0.9638	0.0	0.0362	1.0	0.0	4.5088	0.803	50.0	
0.91	0.9621	0.0	0.0379	1.0	0.0	4.4471	0.8012	50.0	
0.92	0.9618	0.0	0.0382	1.0	0.0	4.3783	0.7993	50.0	
0.93	0.9615	0.0	0.0385	1.0	0.0	4.3043	0.7971	50.0	
0.94	0.9612	0.0	0.0388	1.0	0.0	4.2274	0.7949	50.0	
0.95	0.9626	0.0	0.0374	1.0	0.0	4.1501	0.7926	50.0	
0.96	0.9612	0.0	0.0388	1.0	0.0	4.0746	0.7904	50.0	
0.97	0.9608	0.0	0.0392	1.0	0.0	4.0026	0.7882	50.0	
0.98	0.9614	0.0	0.0386	1.0	0.0	3.9352	0.7863	50.0	
0.99	0.9597	0.0	0.0403	1.0	0.0	3.8732	0.7845	50.0	
1.0	0.9605	0.0	0.0395	1.0	0.0	3.8164	0.7829	50.0	
1.01	0.9611	0.0	0.0389	1.0	0.0	3.7648	0.7816	50.0	
1.02	0.9587	0.0	0.0413	1.0	0.0	3.7175	0.7806	50.0	
1.03	0.9595	0.0	0.0405	1.0	0.0	3.674	0.7797	50.0	
1.04	0.9602	0.0	0.0398	1.0	0.0	3.6334	0.7791	50.0	
1.05	0.9593	0.0	0.0407	1.0	0.0	3.5948	0.7786	50.0	
