Sim 2

Solar R: 0.9633
Solar A: 0.0
Solar T: 0.0367

Wavelength	R	A	T
0.25	0.9636	0.0	0.0364	
0.26	0.9713	0.0	0.0287	
0.27	0.9675	0.0	0.0325	
0.28	0.9754	0.0	0.0246	
0.29	0.97	0.0	0.03	
0.3	0.9747	0.0	0.0253	
0.31	0.975	0.0	0.025	
0.32	0.9732	0.0	0.0268	
0.33	0.9772	0.0	0.0228	
0.34	0.9761	0.0	0.0239	
0.35	0.9745	0.0	0.0255	
0.36	0.9772	0.0	0.0228	
0.37	0.977	0.0	0.023	
0.38	0.975	0.0	0.025	
0.39	0.9741	0.0	0.0259	
0.4	0.9765	0.0	0.0235	
0.41	0.9774	0.0	0.0226	
0.42	0.9747	0.0	0.0253	
0.43	0.9746	0.0	0.0254	
0.44	0.9736	0.0	0.0264	
0.45	0.9744	0.0	0.0256	
0.46	0.9758	0.0	0.0242	
0.47	0.9765	0.0	0.0235	
0.48	0.9752	0.0	0.0248	
0.49	0.9752	0.0	0.0248	
0.5	0.9749	0.0	0.0251	
0.51	0.9738	0.0	0.0262	
0.52	0.9748	0.0	0.0252	
0.53	0.9738	0.0	0.0262	
0.54	0.9745	0.0	0.0255	
0.55	0.9734	0.0	0.0266	
0.56	0.974	0.0	0.026	
0.57	0.9741	0.0	0.0259	
0.58	0.9735	0.0	0.0265	
0.59	0.9731	0.0	0.0269	
0.6	0.9735	0.0	0.0265	
0.61	0.9725	0.0	0.0275	
0.62	0.9722	0.0	0.0278	
0.63	0.9717	0.0	0.0283	
0.64	0.9711	0.0	0.0289	
0.65	0.97	0.0	0.03	
0.66	0.9702	0.0	0.0298	
0.67	0.9707	0.0	0.0293	
0.68	0.9694	0.0	0.0306	
0.69	0.9701	0.0	0.0299	
0.7	0.9702	0.0	0.0298	
0.71	0.9694	0.0	0.0306	
0.72	0.9695	0.0	0.0305	
0.73	0.9701	0.0	0.0299	
0.74	0.9694	0.0	0.0306	
0.75	0.9697	0.0	0.0303	
0.76	0.9698	0.0	0.0302	
0.77	0.9701	0.0	0.0299	
0.78	0.969	0.0	0.031	
0.79	0.9679	0.0	0.0321	
0.8	0.9684	0.0	0.0316	
0.81	0.9681	0.0	0.0319	
0.82	0.9674	0.0	0.0326	
0.83	0.9678	0.0	0.0322	
0.84	0.9667	0.0	0.0333	
0.85	0.9672	0.0	0.0328	
0.86	0.9669	0.0	0.0331	
0.87	0.9652	0.0	0.0348	
0.88	0.9649	0.0	0.0351	
0.89	0.9655	0.0	0.0345	
0.9	0.9644	0.0	0.0356	
0.91	0.9639	0.0	0.0361	
0.92	0.9646	0.0	0.0354	
0.93	0.9631	0.0	0.0369	
0.94	0.9625	0.0	0.0375	
0.95	0.9625	0.0	0.0375	
0.96	0.9614	0.0	0.0386	
0.97	0.9622	0.0	0.0378	
0.98	0.961	0.0	0.039	
0.99	0.9614	0.0	0.0386	
1.0	0.9612	0.0	0.0388	
1.01	0.9594	0.0	0.0406	
1.02	0.9613	0.0	0.0387	
1.03	0.9592	0.0	0.0408	
1.04	0.9603	0.0	0.0397	
1.05	0.9598	0.0	0.0402	
1.06	0.96	0.0	0.04	
1.07	0.9596	0.0	0.0404	
1.08	0.9604	0.0	0.0396	
1.09	0.9592	0.0	0.0408	
1.1	0.9602	0.0	0.0398	
1.11	0.9598	0.0	0.0402	
1.12	0.9592	0.0	0.0408	
1.13	0.9589	0.0	0.0411	
1.14	0.9604	0.0	0.0396	
1.15	0.9594	0.0	0.0406	
1.16	0.9597	0.0	0.0403	
1.17	0.9593	0.0	0.0407	
1.18	0.9604	0.0	0.0396	
1.19	0.9591	0.0	0.0409	
1.2	0.9586	0.0	0.0414	
1.21	0.958	0.0	0.042	
1.22	0.9576	0.0	0.0424	
1.23	0.9571	0.0	0.0429	
1.24	0.957	0.0	0.043	
1.25	0.9565	0.0	0.0435	
1.26	0.9559	0.0	0.0441	
1.27	0.9559	0.0	0.0441	
1.28	0.9551	0.0	0.0449	
