Sim 1

Solar R: 0.9244
Solar A: 0.0
Solar T: 0.0756

WL	R	A	T	n(1)	mu_a(1)	mu_s(1)	g(1)	t(1)
0.25	0.9749	0.0	0.0251	1.0	0.0	8.528	0.8439	50.0	
0.26	0.9804	0.0	0.0196	1.0	0.0	9.0516	0.8063	50.0	
0.27	0.9772	0.0	0.0228	1.0	0.0	8.5277	0.8311	50.0	
0.28	0.9788	0.0	0.0212	1.0	0.0	8.8899	0.8258	50.0	
0.29	0.9798	0.0	0.0202	1.0	0.0	8.5804	0.8042	50.0	
0.3	0.9774	0.0	0.0226	1.0	0.0	8.3316	0.8239	50.0	
0.31	0.9778	0.0	0.0222	1.0	0.0	8.5301	0.8197	50.0	
0.32	0.9798	0.0	0.0202	1.0	0.0	8.223	0.7992	50.0	
0.33	0.9789	0.0	0.0211	1.0	0.0	7.8032	0.7988	50.0	
0.34	0.978	0.0	0.022	1.0	0.0	7.812	0.8031	50.0	
0.35	0.9791	0.0	0.0209	1.0	0.0	7.8095	0.8007	50.0	
0.36	0.9781	0.0	0.0219	1.0	0.0	7.4512	0.7953	50.0	
0.37	0.9775	0.0	0.0225	1.0	0.0	7.024	0.7971	50.0	
0.38	0.9748	0.0	0.0252	1.0	0.0	6.8357	0.8018	50.0	
0.39	0.9754	0.0	0.0246	1.0	0.0	6.7831	0.8019	50.0	
0.4	0.9757	0.0	0.0243	1.0	0.0	6.6795	0.7962	50.0	
0.41	0.9754	0.0	0.0246	1.0	0.0	6.4343	0.7866	50.0	
0.42	0.9761	0.0	0.0239	1.0	0.0	6.134	0.777	50.0	
0.43	0.9764	0.0	0.0236	1.0	0.0	5.9099	0.7713	50.0	
0.44	0.9744	0.0	0.0256	1.0	0.0	5.7806	0.7702	50.0	
0.45	0.9738	0.0	0.0262	1.0	0.0	5.6938	0.7717	50.0	
0.46	0.9737	0.0	0.0263	1.0	0.0	5.5957	0.7736	50.0	
0.47	0.9722	0.0	0.0278	1.0	0.0	5.4473	0.774	50.0	
0.48	0.9728	0.0	0.0272	1.0	0.0	5.2506	0.7722	50.0	
0.49	0.9721	0.0	0.0279	1.0	0.0	5.0383	0.7686	50.0	
0.5	0.9707	0.0	0.0293	1.0	0.0	4.8465	0.7649	50.0	
0.51	0.971	0.0	0.029	1.0	0.0	4.6939	0.7624	50.0	
0.52	0.9699	0.0	0.0301	1.0	0.0	4.578	0.7619	50.0	
0.53	0.9695	0.0	0.0305	1.0	0.0	4.4848	0.7635	50.0	
0.54	0.9672	0.0	0.0328	1.0	0.0	4.3979	0.7665	50.0	
0.55	0.9671	0.0	0.0329	1.0	0.0	4.3035	0.7702	50.0	
0.56	0.9647	0.0	0.0353	1.0	0.0	4.1935	0.7735	50.0	
0.57	0.9634	0.0	0.0366	1.0	0.0	4.0663	0.7757	50.0	
0.58	0.9628	0.0	0.0372	1.0	0.0	3.927	0.7762	50.0	
0.59	0.9612	0.0	0.0388	1.0	0.0	3.7833	0.7746	50.0	
0.6	0.96	0.0	0.04	1.0	0.0	3.6427	0.771	50.0	
0.61	0.9595	0.0	0.0405	1.0	0.0	3.5128	0.7659	50.0	
0.62	0.9606	0.0	0.0394	1.0	0.0	3.3959	0.7596	50.0	
0.63	0.9595	0.0	0.0405	1.0	0.0	3.2929	0.7529	50.0	
0.64	0.9605	0.0	0.0395	1.0	0.0	3.2025	0.7461	50.0	
0.65	0.9608	0.0	0.0392	1.0	0.0	3.1217	0.7398	50.0	
0.66	0.9598	0.0	0.0402	1.0	0.0	3.0478	0.7341	50.0	
0.67	0.9583	0.0	0.0417	1.0	0.0	2.9777	0.7291	50.0	
0.68	0.9594	0.0	0.0406	1.0	0.0	2.909	0.7248	50.0	
0.69	0.959	0.0	0.041	1.0	0.0	2.8399	0.721	50.0	
0.7	0.9577	0.0	0.0423	1.0	0.0	2.7691	0.7175	50.0	
0.71	0.9566	0.0	0.0434	1.0	0.0	2.6965	0.7141	50.0	
0.72	0.9568	0.0	0.0432	1.0	0.0	2.622	0.7106	50.0	
0.73	0.9568	0.0	0.0432	1.0	0.0	2.5462	0.7068	50.0	
0.74	0.9558	0.0	0.0442	1.0	0.0	2.47	0.7025	50.0	
0.75	0.9548	0.0	0.0452	1.0	0.0	2.3944	0.6976	50.0	
0.76	0.954	0.0	0.046	1.0	0.0	2.3206	0.6921	50.0	
0.77	0.954	0.0	0.046	1.0	0.0	2.2492	0.686	50.0	
0.78	0.953	0.0	0.047	1.0	0.0	2.1808	0.6793	50.0	
0.79	0.9539	0.0	0.0461	1.0	0.0	2.116	0.6722	50.0	
0.8	0.9533	0.0	0.0467	1.0	0.0	2.0549	0.6648	50.0	
0.81	0.9532	0.0	0.0468	1.0	0.0	1.9977	0.6573	50.0	
0.82	0.9527	0.0	0.0473	1.0	0.0	1.9441	0.6498	50.0	
0.83	0.9523	0.0	0.0477	1.0	0.0	1.8938	0.6426	50.0	
0.84	0.9506	0.0	0.0494	1.0	0.0	1.8465	0.6357	50.0	
0.85	0.9512	0.0	0.0488	1.0	0.0	1.8017	0.6293	50.0	
0.86	0.9518	0.0	0.0482	1.0	0.0	1.759	0.6234	50.0	
0.87	0.95	0.0	0.05	1.0	0.0	1.718	0.6183	50.0	
0.88	0.9487	0.0	0.0513	1.0	0.0	1.6784	0.6138	50.0	
0.89	0.9495	0.0	0.0505	1.0	0.0	1.6398	0.6101	50.0	
0.9	0.9491	0.0	0.0509	1.0	0.0	1.6018	0.6071	50.0	
0.91	0.9485	0.0	0.0515	1.0	0.0	1.5643	0.6049	50.0	
0.92	0.9475	0.0	0.0525	1.0	0.0	1.5271	0.6034	50.0	
0.93	0.946	0.0	0.054	1.0	0.0	1.49	0.6027	50.0	
0.94	0.9426	0.0	0.0574	1.0	0.0	1.4529	0.6025	50.0	
0.95	0.9418	0.0	0.0582	1.0	0.0	1.4157	0.603	50.0	
0.96	0.9419	0.0	0.0581	1.0	0.0	1.3785	0.6041	50.0	
0.97	0.9393	0.0	0.0607	1.0	0.0	1.3413	0.6057	50.0	
0.98	0.9372	0.0	0.0628	1.0	0.0	1.3041	0.6078	50.0	
0.99	0.9355	0.0	0.0645	1.0	0.0	1.267	0.6103	50.0	
1.0	0.9334	0.0	0.0666	1.0	0.0	1.23	0.6131	50.0	
1.01	0.93	0.0	0.07	1.0	0.0	1.1933	0.6163	50.0	
1.02	0.9284	0.0	0.0716	1.0	0.0	1.157	0.6196	50.0	
1.03	0.9244	0.0	0.0756	1.0	0.0	1.121	0.6232	50.0	
1.04	0.9238	0.0	0.0762	1.0	0.0	1.0856	0.627	50.0	
1.05	0.9181	0.0	0.0819	1.0	0.0	1.0509	0.6308	50.0	
1.06	0.9165	0.0	0.0835	1.0	0.0	1.0168	0.6346	50.0	
1.07	0.9123	0.0	0.0877	1.0	0.0	0.9835	0.6385	50.0	
1.08	0.9081	0.0	0.0919	1.0	0.0	0.9511	0.6423	50.0	
1.09	0.9049	0.0	0.0951	1.0	0.0	0.9195	0.646	50.0	
1.1	0.9004	0.0	0.0996	1.0	0.0	0.889	0.6495	50.0	
