0.44	1.7288	0
0.46	1.7273	0
0.48	1.7258	0
0.5	1.7243	0
0.52	1.7229	0
0.54	1.7216	0
0.56	1.7203	0
0.58	1.7191	0
0.6	1.718	0
0.62	1.7169	0
0.64	1.716	0
0.66	1.7151	0
0.68	1.7142	0
0.7	1.7134	0
0.72	1.7127	0
0.74	1.712	0
0.76	1.7114	0
0.78	1.7108	0
0.8	1.7102	0
0.9	1.7078	0
1	1.706	0
2	1.6957	0
3	1.6798	0
4	1.6446	0
5	1.5759	0
6	1.4554	0
7	1.2613	0
7.143	1.23	0.0076
7.407	1.166	0.008
7.692	1.086	0.011
8	0.981	0.014
8.333	0.834	0.021
8.511	0.735	0.026
8.696	0.604	0.036
8.889	0.411	0.06
9091	0.105	0.267
9.302	0.057	0.568
9.524	0.048	0.789
9.756	0.045	0.986
10	0.045	1.179
10.26	0.047	1.375
10.53	0.05	1.583
10.81	0.056	1.81
11.11	0.064	2.066
11.43	0.076	2.365
11.76	0.095	2.729
12.12	0.126	3.196
12.5	0.184	3.847
12.9	0.321	4.879
13.33	0.83	6.7
13.79	10.089	11.834
14.29	7.805	0.87
14.81	5.725	0.296
15.38	4.814	0.155
16	4.287	0.097
16.67	3.939	0.068
17.39	3.689	0.05
18.18	3.502	0.038
19.05	3.355	0.03
20	3.237	0.025
21.05	3.141	0.02
22.22	3.061	0.017
23.53	2.993	0.014
25	2.936	0.012
28.57	2.845	9.10E-03
33.3	2.776	6.90E-03
40	2.725	5.10E-03
50	2.686	3.80E-03
66.7	2.659	2.70E-03
100	2.639	1.70E-03
