Sim 1

Solar R: 0.8523
Solar A: 0.0146
Solar T: 0.1331

Wavelength	R	A	T
1.6034	0.7452	0.0082	0.2466	
1.6096	0.7437	0.0084	0.248	
1.6158	0.7419	0.0086	0.2496	
1.6221	0.7403	0.0087	0.251	
1.6283	0.7386	0.0091	0.2523	
1.6345	0.737	0.0094	0.2537	
1.6408	0.735	0.0102	0.2548	
1.647	0.7326	0.0115	0.2559	
1.6532	0.7259	0.0229	0.2512	
1.6594	0.7147	0.0412	0.2441	
1.6657	0.6983	0.0664	0.2353	
1.6719	0.6712	0.1115	0.2173	
1.6781	0.6498	0.1442	0.206	
1.6843	0.6315	0.1748	0.1937	
1.6906	0.6222	0.1887	0.1891	
1.6968	0.6198	0.1904	0.1899	
1.703	0.6205	0.1865	0.193	
1.7092	0.622	0.1813	0.1967	
1.7155	0.6217	0.1793	0.199	
1.7217	0.62	0.1796	0.2003	
1.7279	0.6197	0.1776	0.2027	
1.7342	0.6217	0.1714	0.2068	
1.7404	0.626	0.1611	0.2128	
1.7466	0.6313	0.1487	0.22	
1.7528	0.6358	0.1382	0.2259	
1.7591	0.6401	0.1288	0.2311	
1.7653	0.6459	0.1171	0.237	
1.7715	0.6521	0.1041	0.2438	
1.7777	0.6578	0.091	0.2512	
1.784	0.661	0.0823	0.2568	
1.7902	0.6613	0.0789	0.2598	
1.7964	0.6609	0.077	0.2621	
1.8026	0.6602	0.0756	0.2642	
1.8089	0.6597	0.0737	0.2666	
1.8151	0.6604	0.0696	0.27	
1.8213	0.6604	0.0667	0.2729	
1.8275	0.6612	0.0625	0.2762	
1.8338	0.6619	0.0585	0.2795	
1.84	0.6627	0.0546	0.2827	
1.8462	0.664	0.0498	0.2862	
1.8525	0.6638	0.0473	0.2889	
1.8587	0.6632	0.0455	0.2912	
1.8649	0.6621	0.0447	0.2933	
1.8711	0.6594	0.0461	0.2945	
1.8774	0.6558	0.0489	0.2953	
1.8836	0.6517	0.0526	0.2957	
1.8898	0.6466	0.0581	0.2954	
1.896	0.641	0.0647	0.2943	
1.9023	0.6334	0.0747	0.2919	
1.9085	0.6284	0.0808	0.2908	
1.9147	0.6253	0.0837	0.2911	
1.9209	0.6256	0.0803	0.2941	
1.9272	0.6262	0.0763	0.2975	
1.9334	0.6254	0.0749	0.2997	
1.9396	0.6242	0.0743	0.3015	
1.9458	0.6221	0.0753	0.3026	
1.9521	0.6205	0.0753	0.3042	
1.9583	0.6221	0.07	0.3079	
1.9645	0.6229	0.0661	0.311	
1.9708	0.6238	0.062	0.3142	
1.977	0.6233	0.0601	0.3165	
1.9832	0.6214	0.0607	0.3178	
1.9894	0.6193	0.0617	0.319	
1.9957	0.6169	0.0631	0.32	
2.0019	0.614	0.0654	0.3207	
2.0081	0.611	0.0676	0.3214	
2.0143	0.6058	0.0739	0.3204	
2.0206	0.6003	0.081	0.3187	
2.0268	0.5963	0.0856	0.3182	
2.033	0.5916	0.0915	0.317	
2.0392	0.589	0.0933	0.3176	
2.0455	0.5853	0.0975	0.3172	
2.0517	0.5828	0.0994	0.3178	
2.0579	0.5791	0.1034	0.3175	
2.0642	0.5744	0.1094	0.3162	
2.0704	0.571	0.113	0.316	
2.0766	0.5687	0.1146	0.3168	
2.0828	0.5663	0.1162	0.3175	
2.0891	0.5655	0.1147	0.3197	
2.0953	0.5628	0.1171	0.3201	
2.1015	0.559	0.1213	0.3197	
2.1077	0.5499	0.1344	0.3157	
2.114	0.5406	0.1482	0.3112	
2.1202	0.5315	0.1619	0.3066	
2.1264	0.5273	0.1666	0.306	
2.1326	0.524	0.17	0.306	
2.1389	0.5234	0.1686	0.308	
2.1451	0.5253	0.1629	0.3118	
2.1513	0.5252	0.1606	0.3142	
2.1575	0.5259	0.1571	0.317	
2.1638	0.5285	0.1498	0.3216	
2.17	0.5314	0.1424	0.3262	
2.1762	0.5314	0.1401	0.3285	
2.1825	0.5308	0.1387	0.3305	
2.1887	0.5281	0.141	0.3309	
2.1949	0.523	0.1477	0.3293	
2.2011	0.5138	0.1614	0.3248	
2.2074	0.5019	0.1802	0.3179	
2.2136	0.4844	0.2103	0.3053	
2.2198	0.4614	0.2505	0.2881	
2.226	0.4335	0.303	0.2634	
2.2323	0.402	0.3621	0.2359	
2.2385	0.3725	0.4184	0.2091	
2.2447	0.3433	0.4705	0.1862	
2.2509	0.3145	0.518	0.1675	
2.2572	0.2924	0.557	0.1506	
2.2634	0.2783	0.5819	0.1398	
2.2696	0.2726	0.591	0.1363	
2.2758	0.2712	0.592	0.1368	
2.2821	0.2681	0.5962	0.1357	
2.2883	0.2619	0.6065	0.1316	
2.2945	0.2557	0.6168	0.1274	
2.3008	0.2533	0.6196	0.127	
2.307	0.2589	0.6069	0.1342	
2.3132	0.2725	0.5782	0.1493	
2.3194	0.2885	0.5456	0.1659	
2.3257	0.3017	0.5193	0.179	
2.3319	0.3075	0.5054	0.1871	
2.3381	0.3083	0.5013	0.1904	
2.3443	0.3076	0.5004	0.192	
2.3506	0.3076	0.498	0.1944	
2.3568	0.3116	0.4872	0.2011	
2.363	0.3168	0.4751	0.208	
2.3692	0.3195	0.4679	0.2126	
2.3755	0.3181	0.4682	0.2137	
2.3817	0.3162	0.4694	0.2144	
2.3879	0.3102	0.4783	0.2115	
2.3942	0.3065	0.4828	0.2106	
2.4004	0.3025	0.4883	0.2092	
2.4066	0.2988	0.4929	0.2083	
2.4128	0.2949	0.498	0.2071	
2.4191	0.2918	0.5013	0.2068	
2.4253	0.2883	0.5056	0.2061	
2.4315	0.2818	0.5158	0.2024	
2.4377	0.2767	0.524	0.1993	
2.444	0.2721	0.5311	0.1967	
2.4502	0.2744	0.5236	0.202	
2.4564	0.2808	0.5083	0.2109	
2.4626	0.2855	0.497	0.2175	
2.4689	0.2931	0.4795	0.2273	
2.4751	0.3003	0.4627	0.237	
2.4813	0.3067	0.4473	0.2459	
2.4875	0.3173	0.4238	0.2589	
2.4938	0.3289	0.398	0.2731	
2.5	0.3365	0.3801	0.2834	

Input file:
nn
output:fig3b
particle1:baso4.txt
matrix1:acr.txt
mesh:1
solar:am15.txt
photons:100000
start=0.25
end=2.5

sim1
upper:1
lower:1
layer1
matrix1
t:200
particle1
d:0.4
vf:60
dist:35
