Sim 3

Solar R: 0.256
Solar A: 0.5754
Solar T: 0.1686

WL	R	A	T	n(1)	mu_a(1)	mu_s(1)	g(1)	t(1)
0.25	0.0611	0.8398	0.0991	1.362	0.0022	0.0062	0.6535	500.0	
0.251	0.0628	0.8375	0.0997	1.3617	0.0022	0.0062	0.6519	500.0	
0.252	0.0633	0.838	0.0987	1.3614	0.0021	0.0062	0.6503	500.0	
0.253	0.064	0.8353	0.1008	1.361	0.0021	0.0063	0.6487	500.0	
0.254	0.064	0.8344	0.1016	1.3607	0.0021	0.0063	0.6474	500.0	
0.255	0.0655	0.833	0.1015	1.3604	0.0021	0.0063	0.6457	500.0	
0.256	0.0659	0.8328	0.1013	1.3601	0.0021	0.0063	0.6442	500.0	
0.257	0.0665	0.8302	0.1032	1.3598	0.002	0.0063	0.6426	500.0	
0.258	0.0674	0.8297	0.1029	1.3594	0.002	0.0063	0.6411	500.0	
0.259	0.0685	0.8279	0.1036	1.3591	0.002	0.0063	0.6395	500.0	
0.26	0.0689	0.8262	0.1049	1.3588	0.002	0.0063	0.6379	500.0	
0.261	0.0693	0.824	0.1067	1.3585	0.002	0.0064	0.6363	500.0	
0.262	0.0705	0.8225	0.107	1.3582	0.002	0.0064	0.6346	500.0	
0.263	0.0711	0.8219	0.1069	1.3578	0.0019	0.0064	0.6329	500.0	
0.264	0.0717	0.8197	0.1086	1.3575	0.0019	0.0064	0.6312	500.0	
0.265	0.0733	0.8176	0.1091	1.3572	0.0019	0.0064	0.6295	500.0	
0.266	0.0722	0.8168	0.111	1.3569	0.0019	0.0064	0.6279	500.0	
0.267	0.0742	0.8139	0.1119	1.3566	0.0019	0.0064	0.6262	500.0	
0.268	0.0748	0.8129	0.1123	1.3562	0.0018	0.0064	0.6247	500.0	
0.269	0.0755	0.8098	0.1147	1.3559	0.0018	0.0064	0.6231	500.0	
0.27	0.0763	0.8087	0.1149	1.3556	0.0018	0.0064	0.6217	500.0	
0.271	0.0772	0.8082	0.1147	1.3553	0.0018	0.0063	0.6205	500.0	
0.272	0.0768	0.8067	0.1165	1.355	0.0018	0.0063	0.6195	500.0	
0.273	0.0764	0.8058	0.1178	1.3546	0.0018	0.0063	0.6186	500.0	
0.274	0.0769	0.8042	0.1189	1.3543	0.0018	0.0063	0.6179	500.0	
0.275	0.0776	0.8039	0.1185	1.354	0.0018	0.0062	0.6173	500.0	
0.276	0.0759	0.8049	0.1193	1.3538	0.0018	0.0062	0.617	500.0	
0.277	0.0756	0.8055	0.1189	1.3536	0.0018	0.0062	0.6167	500.0	
0.278	0.0753	0.8051	0.1196	1.3534	0.0018	0.0061	0.6165	500.0	
0.279	0.0753	0.8054	0.1193	1.3532	0.0018	0.0061	0.6165	500.0	
0.28	0.0745	0.8077	0.1178	1.353	0.0018	0.0061	0.6165	500.0	
