Sim 3

Solar R: 0.265
Solar A: 0.5586
Solar T: 0.1763

Wavelength	R	A	T
0.25	0.0638	0.826	0.1102	
0.251	0.0639	0.8248	0.1113	
0.252	0.0656	0.8236	0.1108	
0.253	0.0646	0.8233	0.1121	
0.254	0.0665	0.8219	0.1116	
0.255	0.0669	0.82	0.1131	
0.256	0.0675	0.8199	0.1126	
0.257	0.0691	0.817	0.114	
0.258	0.0689	0.816	0.1151	
0.2591	0.0701	0.8141	0.1157	
0.2602	0.071	0.8121	0.1168	
0.2613	0.0718	0.8094	0.1188	
0.2624	0.0725	0.8095	0.1181	
0.2635	0.0732	0.8088	0.118	
0.2646	0.0743	0.8041	0.1216	
0.2657	0.0749	0.8036	0.1214	
0.2668	0.0767	0.7987	0.1245	
0.2679	0.0778	0.7977	0.1245	
0.269	0.0774	0.7962	0.1264	
0.2701	0.0779	0.7953	0.1268	
0.2712	0.0791	0.7935	0.1275	
0.2724	0.0787	0.7915	0.1298	
0.2736	0.0791	0.7909	0.1301	
0.2748	0.0792	0.79	0.1309	
0.276	0.0791	0.7898	0.1311	
0.2772	0.0788	0.7899	0.1314	
0.2784	0.0771	0.7911	0.1318	
0.2796	0.077	0.7921	0.1309	
0.2808	0.0761	0.792	0.1318	
0.2821	0.0761	0.7934	0.1305	
0.2834	0.0746	0.7937	0.1317	
0.2847	0.0742	0.795	0.1307	
0.286	0.0733	0.7942	0.1324	
0.2873	0.0717	0.7977	0.1306	
0.2886	0.0708	0.7996	0.1296	
0.2899	0.0689	0.8027	0.1284	
0.2912	0.0669	0.8071	0.1259	
0.2925	0.0648	0.8096	0.1257	
0.2939	0.0628	0.8133	0.1238	
0.2953	0.0603	0.8175	0.1222	
0.2967	0.0593	0.8209	0.1198	
0.2981	0.0577	0.8235	0.1189	
0.2995	0.0564	0.8245	0.1191	
0.3009	0.0562	0.8254	0.1185	
0.3023	0.0549	0.8277	0.1174	
0.3038	0.0534	0.8295	0.1171	
0.3053	0.0535	0.832	0.1146	
0.3068	0.0521	0.8341	0.1138	
0.3083	0.052	0.835	0.113	
0.3098	0.0513	0.8352	0.1135	
0.3113	0.051	0.8349	0.114	
0.3128	0.0504	0.8374	0.1122	
0.3144	0.0502	0.8379	0.1119	
0.316	0.0492	0.8396	0.1112	
0.3176	0.049	0.8391	0.1119	
0.3192	0.0493	0.8393	0.1115	
0.3208	0.049	0.8403	0.1107	
0.3225	0.0486	0.842	0.1094	
0.3242	0.0483	0.8417	0.1101	
0.3259	0.0483	0.8428	0.1089	
0.3276	0.0484	0.8418	0.1098	
0.3293	0.0481	0.8442	0.1077	
0.331	0.048	0.8432	0.1088	
0.3327	0.0476	0.8436	0.1088	
0.3345	0.0475	0.8439	0.1086	
0.3363	0.0479	0.844	0.1081	
0.3381	0.0473	0.8446	0.1081	
0.3399	0.0476	0.844	0.1084	
0.3417	0.0479	0.8449	0.1072	
