Sim 3

Solar R: 0.2053
Solar A: 0.5072
Solar T: 0.2874

WL	R	A	T	n(1)	mu_a(1)	mu_s(1)	g(1)	t(1)
0.25	0.0692	0.7159	0.2148	1.362	0.0014	0.0042	0.6594	500.0	
0.251	0.0688	0.715	0.2161	1.3617	0.0014	0.0042	0.658	500.0	
0.252	0.0705	0.7122	0.2173	1.3614	0.0014	0.0042	0.6566	500.0	
0.253	0.0709	0.7114	0.2177	1.361	0.0014	0.0042	0.6551	500.0	
0.254	0.0714	0.7109	0.2177	1.3607	0.0014	0.0043	0.654	500.0	
0.255	0.0721	0.7106	0.2173	1.3604	0.0014	0.0043	0.6524	500.0	
0.256	0.0723	0.709	0.2187	1.3601	0.0013	0.0043	0.6511	500.0	
0.257	0.0732	0.7087	0.2181	1.3598	0.0013	0.0043	0.6496	500.0	
0.258	0.0737	0.7058	0.2205	1.3594	0.0013	0.0043	0.6482	500.0	
0.259	0.0748	0.7063	0.2189	1.3591	0.0013	0.0043	0.6467	500.0	
0.26	0.0755	0.7019	0.2226	1.3588	0.0013	0.0043	0.6452	500.0	
0.261	0.0764	0.7014	0.2223	1.3585	0.0013	0.0043	0.6437	500.0	
0.262	0.0763	0.7006	0.2231	1.3582	0.0013	0.0043	0.6422	500.0	
0.263	0.0773	0.6985	0.2242	1.3578	0.0013	0.0043	0.6407	500.0	
0.264	0.078	0.6953	0.2268	1.3575	0.0012	0.0043	0.6392	500.0	
0.265	0.0789	0.6926	0.2285	1.3572	0.0012	0.0043	0.6377	500.0	
0.266	0.0802	0.6904	0.2294	1.3569	0.0012	0.0043	0.6363	500.0	
0.267	0.0802	0.6889	0.2308	1.3566	0.0012	0.0043	0.6348	500.0	
0.268	0.0819	0.6878	0.2303	1.3562	0.0012	0.0043	0.6335	500.0	
0.269	0.0821	0.6859	0.232	1.3559	0.0012	0.0043	0.6321	500.0	
0.27	0.0822	0.6837	0.2341	1.3556	0.0012	0.0043	0.6309	500.0	
0.271	0.0826	0.6834	0.2341	1.3553	0.0012	0.0043	0.6298	500.0	
0.272	0.0833	0.6796	0.2371	1.355	0.0012	0.0043	0.6289	500.0	
0.273	0.0833	0.6792	0.2375	1.3546	0.0012	0.0043	0.6281	500.0	
0.274	0.0827	0.6842	0.2332	1.3543	0.0012	0.0043	0.6276	500.0	
0.275	0.0824	0.6796	0.2381	1.354	0.0012	0.0043	0.6271	500.0	
0.276	0.0819	0.679	0.2391	1.3538	0.0012	0.0042	0.6269	500.0	
