Sim 2

Solar R: 0.2631
Solar A: 0.5422
Solar T: 0.1948

Wavelength	R	A	T
0.25	0.0634	0.8207	0.1159	
0.251	0.0639	0.8218	0.1143	
0.252	0.0646	0.8194	0.1159	
0.253	0.0656	0.8181	0.1162	
0.254	0.0667	0.817	0.1163	
0.255	0.067	0.8156	0.1175	
0.256	0.068	0.8146	0.1174	
0.257	0.0689	0.8127	0.1184	
0.258	0.0695	0.8108	0.1197	
0.2591	0.07	0.8098	0.1202	
0.2602	0.0708	0.808	0.1212	
0.2613	0.0719	0.806	0.1222	
0.2624	0.0726	0.805	0.1224	
0.2635	0.0742	0.8026	0.1233	
0.2646	0.074	0.8009	0.1251	
0.2657	0.0753	0.7982	0.1266	
0.2668	0.077	0.7967	0.1263	
0.2679	0.0769	0.7946	0.1284	
0.269	0.0778	0.7915	0.1307	
0.2701	0.0782	0.7914	0.1304	
0.2712	0.0788	0.7893	0.1319	
0.2724	0.0798	0.7858	0.1344	
0.2736	0.0794	0.7861	0.1344	
0.2748	0.0795	0.7852	0.1353	
0.276	0.079	0.7852	0.1358	
0.2772	0.0789	0.786	0.1351	
0.2784	0.0787	0.7853	0.1361	
0.2796	0.077	0.7859	0.1371	
0.2808	0.0765	0.7869	0.1366	
0.2821	0.0756	0.7898	0.1347	
0.2834	0.0751	0.7897	0.1352	
0.2847	0.074	0.7898	0.1361	
0.286	0.0732	0.7916	0.1352	
0.2873	0.0719	0.7932	0.1349	
0.2886	0.0712	0.7952	0.1336	
0.2899	0.0686	0.7989	0.1325	
0.2912	0.0665	0.8015	0.1319	
0.2925	0.0649	0.8043	0.1308	
0.2939	0.0626	0.8087	0.1287	
0.2953	0.0608	0.8121	0.1271	
0.2967	0.0587	0.8158	0.1254	
0.2981	0.0576	0.8182	0.1242	
0.2995	0.0566	0.8193	0.1241	
0.3009	0.0557	0.8219	0.1223	
0.3023	0.0542	0.8243	0.1214	
0.3038	0.0538	0.8265	0.1196	
0.3053	0.0529	0.8268	0.1203	
0.3068	0.0526	0.8264	0.121	
0.3083	0.0526	0.8289	0.1184	
0.3098	0.0509	0.8306	0.1185	
0.3113	0.0506	0.8313	0.1182	
0.3128	0.0506	0.8331	0.1163	
0.3144	0.0501	0.8328	0.1171	
0.316	0.0495	0.8356	0.1149	
0.3176	0.0494	0.8361	0.1145	
0.3192	0.0493	0.8356	0.1151	
0.3208	0.0493	0.8361	0.1145	
0.3225	0.0484	0.8369	0.1146	
0.3242	0.0482	0.837	0.1148	
0.3259	0.0483	0.838	0.1138	
0.3276	0.0481	0.8381	0.1137	
0.3293	0.0481	0.8394	0.1125	
0.331	0.0479	0.84	0.1121	
0.3327	0.0474	0.8394	0.1133	
0.3345	0.0478	0.8399	0.1122	
0.3363	0.0479	0.8392	0.113	
0.3381	0.0475	0.84	0.1125	
0.3399	0.0473	0.8409	0.1118	
0.3417	0.0478	0.8409	0.1113	
0.3436	0.0472	0.8406	0.1122	
0.3455	0.048	0.8397	0.1123	
0.3474	0.048	0.8402	0.1118	
0.3493	0.0483	0.8399	0.1118	
0.3512	0.0484	0.8387	0.1129	
0.3531	0.0487	0.8386	0.1126	
0.3551	0.0489	0.8378	0.1133	
0.3571	0.0502	0.8365	0.1132	
0.3591	0.0508	0.8369	0.1123	
0.3612	0.0517	0.8335	0.1148	
0.3633	0.052	0.8331	0.1149	
0.3654	0.0518	0.8318	0.1163	
0.3675	0.0521	0.8317	0.1162	
0.3696	0.0512	0.834	0.1148	
0.3718	0.0503	0.8327	0.117	
0.374	0.0485	0.8373	0.1142	
0.3762	0.0479	0.8389	0.1133	
0.3785	0.0468	0.8403	0.113	
0.3808	0.0459	0.842	0.1121	
0.3831	0.0449	0.8442	0.1108	
0.3854	0.0441	0.8463	0.1097	
0.3877	0.0431	0.8497	0.1072	
0.3901	0.0422	0.8507	0.1071	
0.3925	0.0418	0.8528	0.1054	
0.395	0.0409	0.8526	0.1064	
0.3975	0.0412	0.8548	0.104	
0.4	0.0407	0.8556	0.1037	
0.4025	0.0396	0.8579	0.1024	
0.405	0.0395	0.8588	0.1017	
0.4076	0.0392	0.8584	0.1024	
0.4102	0.0381	0.8598	0.1021	
0.4129	0.0381	0.8611	0.1008	
0.4156	0.0389	0.8631	0.098	
0.4184	0.0392	0.8634	0.0974	
0.4212	0.0387	0.8646	0.0967	
0.424	0.0384	0.8644	0.0971	
0.4269	0.0388	0.8641	0.0971	
0.4298	0.0411	0.8638	0.0951	
0.4328	0.0417	0.8638	0.0945	
0.4358	0.0399	0.8648	0.0953	
0.4389	0.038	0.8652	0.0968	
0.442	0.0373	0.8637	0.099	
0.4451	0.0385	0.8625	0.099	
0.4482	0.0401	0.8639	0.0959	
0.4514	0.0425	0.8662	0.0913	
