Sim 2

Solar R: 0.2624
Solar A: 0.5522
Solar T: 0.1855

Wavelength	R	A	T
0.6326	0.2333	0.6018	0.1649	
0.639	0.2244	0.6056	0.17	
0.6455	0.2069	0.6292	0.1639	
0.6521	0.1927	0.6572	0.1501	
0.6589	0.1805	0.6861	0.1333	
0.6658	0.184	0.6908	0.1253	
0.6729	0.1985	0.6733	0.1282	
0.6801	0.2232	0.6302	0.1466	
0.6874	0.2491	0.5802	0.1707	
0.695	0.2717	0.5252	0.203	
0.7027	0.2892	0.4836	0.2272	
0.7106	0.2899	0.4727	0.2375	
0.7187	0.2654	0.5251	0.2095	
0.7269	0.235	0.5863	0.1787	
0.7353	0.2148	0.6362	0.149	
0.7439	0.2054	0.6518	0.1428	
0.7527	0.2059	0.644	0.1501	
0.7618	0.2176	0.5967	0.1856	
0.771	0.2322	0.5265	0.2413	
0.7805	0.2532	0.4432	0.3036	
0.7902	0.2762	0.3692	0.3546	
0.8001	0.295	0.3261	0.3789	
0.8103	0.2947	0.3503	0.355	
0.8189	0.3112	0.355	0.3338	
0.8239	0.3758	0.2589	0.3653	
0.8273	0.4357	0.1588	0.4055	
0.8307	0.443	0.1698	0.3872	
0.8345	0.4467	0.1821	0.3712	
0.8408	0.4599	0.1974	0.3427	
0.8508	0.489	0.2015	0.3095	
0.8608	0.515	0.1861	0.2989	
0.8708	0.5347	0.1607	0.3047	
0.8808	0.5424	0.1345	0.3231	
0.8908	0.5364	0.1093	0.3543	
0.9008	0.5078	0.0959	0.3964	
0.9108	0.4642	0.0847	0.4511	
0.9208	0.4174	0.0764	0.5062	
0.9308	0.3664	0.0778	0.5557	
0.9408	0.3293	0.0865	0.5842	
0.9508	0.3205	0.0974	0.5822	
0.9608	0.334	0.1037	0.5623	
0.9708	0.3784	0.1187	0.5029	
0.9808	0.4284	0.1332	0.4383	
0.9908	0.4776	0.146	0.3764	
1.0008	0.5172	0.1561	0.3266	
1.0108	0.5453	0.165	0.2897	
1.0208	0.5619	0.1671	0.2709	
1.0308	0.5728	0.1601	0.267	
1.0408	0.5812	0.1496	0.2692	
1.0508	0.5862	0.1414	0.2725	
1.0608	0.5884	0.1346	0.277	
1.0708	0.5933	0.134	0.2728	
1.0808	0.5974	0.135	0.2676	
1.0908	0.5945	0.1381	0.2674	
1.1008	0.5902	0.1408	0.269	
1.1108	0.5844	0.1424	0.2732	
1.1208	0.5852	0.1303	0.2845	
1.1308	0.5732	0.1341	0.2927	
1.1408	0.5641	0.138	0.2979	
1.1508	0.5519	0.1426	0.3055	
1.1608	0.5452	0.1458	0.309	
1.1708	0.5325	0.1506	0.3169	
1.1808	0.5291	0.1542	0.3168	
1.1908	0.5244	0.1585	0.3171	
1.2008	0.5176	0.1697	0.3127	
1.2108	0.4857	0.2473	0.267	
1.2208	0.46	0.3116	0.2285	
1.2308	0.445	0.3637	0.1914	
1.2408	0.4337	0.408	0.1583	
1.2508	0.4284	0.4424	0.1292	
1.2608	0.4216	0.4725	0.106	
1.2708	0.4171	0.4955	0.0874	
1.2808	0.4104	0.5152	0.0744	
1.2908	0.3996	0.5353	0.0651	
1.3008	0.3887	0.5535	0.0578	
1.3108	0.3778	0.5691	0.0531	
1.3208	0.362	0.5872	0.0508	
1.3308	0.3452	0.6046	0.0501	
1.3408	0.3311	0.6197	0.0493	
1.3508	0.3161	0.6344	0.0495	
1.3608	0.3021	0.6494	0.0484	
1.3708	0.2914	0.6608	0.0478	
1.3808	0.2811	0.6728	0.0461	
1.3908	0.2748	0.6812	0.0441	
1.4008	0.2697	0.6876	0.0427	
1.4108	0.2732	0.6827	0.0441	
1.4208	0.2768	0.6782	0.045	
1.4308	0.2828	0.6716	0.0456	
1.4408	0.2881	0.6645	0.0474	
1.4508	0.2917	0.6595	0.0488	
1.4608	0.2988	0.6512	0.05	
1.4708	0.3057	0.6433	0.051	
1.4808	0.3102	0.6368	0.053	
1.4908	0.3166	0.6297	0.0537	
1.5008	0.3228	0.6225	0.0547	
1.5108	0.3323	0.6113	0.0564	
1.5208	0.3375	0.6053	0.0571	
1.5308	0.3434	0.5974	0.0592	
1.5408	0.3519	0.5891	0.059	
1.5508	0.3572	0.5811	0.0618	
1.5608	0.3657	0.5723	0.062	
1.5708	0.372	0.564	0.064	
1.5808	0.3806	0.554	0.0654	
1.5908	0.3884	0.5451	0.0665	
1.6008	0.3944	0.5371	0.0685	
1.6108	0.3946	0.5383	0.0671	
1.6208	0.395	0.5396	0.0654	
1.6308	0.3983	0.5396	0.0621	
1.6408	0.3957	0.5433	0.0609	
1.6508	0.3985	0.5431	0.0584	
1.6608	0.3973	0.5457	0.057	
1.6708	0.3975	0.547	0.0556	
1.6808	0.3989	0.5464	0.0547	
1.6908	0.3978	0.5499	0.0522	
1.7008	0.3997	0.5497	0.0506	
1.7108	0.3992	0.551	0.0498	
1.7208	0.3989	0.5523	0.0488	
1.7308	0.397	0.555	0.048	
1.7408	0.397	0.5557	0.0474	
1.7508	0.3967	0.5569	0.0464	
1.7608	0.3933	0.5602	0.0465	
1.7708	0.3929	0.561	0.0461	
1.7808	0.3877	0.5662	0.0461	
1.7908	0.3852	0.5681	0.0467	
1.8008	0.3758	0.5784	0.0458	
1.8108	0.3165	0.6547	0.0287	
1.8208	0.2753	0.7053	0.0194	
1.8308	0.2419	0.7442	0.0139	
1.8408	0.2145	0.7751	0.0104	
1.8508	0.1914	0.8002	0.0084	
1.8608	0.1722	0.8211	0.0067	
1.8708	0.1547	0.8397	0.0056	
1.8808	0.1375	0.8576	0.0049	
1.8908	0.1245	0.8712	0.0043	
1.9008	0.1125	0.8836	0.0038	
1.9108	0.1019	0.8943	0.0037	
1.9208	0.0919	0.9046	0.0036	
1.9308	0.0834	0.9133	0.0033	
1.9408	0.0771	0.9199	0.003	
1.9508	0.0703	0.9266	0.003	
1.9608	0.0643	0.9329	0.0028	
1.9708	0.0602	0.9371	0.0026	
1.9808	0.0553	0.9421	0.0026	
1.9908	0.0513	0.9462	0.0025	
2.0008	0.0487	0.9489	0.0024	
2.0108	0.0484	0.9485	0.0031	
2.0208	0.0488	0.9471	0.0041	
2.0308	0.0492	0.9456	0.0052	
2.0408	0.0494	0.9438	0.0068	
2.0508	0.0499	0.9419	0.0082	
2.0608	0.051	0.9386	0.0104	
2.0708	0.0516	0.9358	0.0127	
2.0808	0.052	0.9324	0.0156	
2.0908	0.0532	0.9273	0.0195	
2.1008	0.0552	0.921	0.0237	
2.1108	0.0566	0.9144	0.029	
2.1208	0.0583	0.9072	0.0345	
2.1308	0.061	0.8973	0.0417	
2.1408	0.0641	0.886	0.0499	
2.1508	0.067	0.8729	0.0602	
2.1608	0.0706	0.8584	0.071	
2.1708	0.0749	0.84	0.0851	
2.1808	0.0812	0.8195	0.0993	
2.1908	0.0881	0.792	0.12	
2.2008	0.0945	0.7652	0.1402	
2.2108	0.0872	0.7862	0.1266	
2.2208	0.0802	0.8039	0.1159	
2.2308	0.0741	0.8205	0.1054	
2.2408	0.0684	0.8342	0.0975	
2.2508	0.0643	0.847	0.0887	
2.2608	0.0617	0.8558	0.0825	
2.2708	0.0572	0.8663	0.0765	
2.2808	0.0543	0.8757	0.0699	
2.2908	0.0513	0.8845	0.0642	
2.3008	0.0498	0.889	0.0613	
2.3108	0.0483	0.8955	0.0562	
2.3208	0.0453	0.9024	0.0523	
2.3308	0.0437	0.9069	0.0494	
2.3408	0.0429	0.9116	0.0455	
2.3508	0.041	0.9172	0.0418	
2.3608	0.0398	0.921	0.0392	
2.3708	0.038	0.9243	0.0377	
2.3808	0.0378	0.9284	0.0338	
2.3908	0.0361	0.9318	0.0321	
2.4008	0.0353	0.9346	0.0301	
2.4108	0.0326	0.9447	0.0227	
2.4208	0.0304	0.9524	0.0172	
2.4308	0.0289	0.9578	0.0133	
2.4408	0.0277	0.9617	0.0106	
2.4508	0.0262	0.9659	0.0079	
2.4608	0.025	0.9688	0.0062	
2.4708	0.0241	0.9709	0.005	
2.4808	0.0232	0.9732	0.0037	
2.4908	0.0226	0.9747	0.0027	
2.5	0.0219	0.9757	0.0024	

Input file:
mc
output:fig4b
particle1:si.txt
matrix1:water.txt
mesh:1
solar:am15.txt
photons:100000
start=0.25
end=2.5

sim2
upper:1
lower:1
layer1
matrix1
t:500
particle1
d:0.5
vf:0.1
dist:5
