Sim 2

Solar R: 0.2535
Solar A: 0.5688
Solar T: 0.1776

WL	R	A	T	n(1)	mu_a(1)	mu_s(1)	g(1)	t(1)
0.25	0.0617	0.8344	0.1039	1.362	0.0021	0.0061	0.6545	500.0	
0.251	0.0628	0.8322	0.105	1.3617	0.0021	0.0061	0.6529	500.0	
0.252	0.0635	0.8318	0.1047	1.3614	0.0021	0.0061	0.6514	500.0	
0.253	0.0638	0.8318	0.1043	1.361	0.0021	0.0061	0.6498	500.0	
0.254	0.0646	0.8289	0.1065	1.3607	0.0021	0.0062	0.6485	500.0	
0.255	0.0656	0.8275	0.1069	1.3604	0.002	0.0062	0.6469	500.0	
0.256	0.0653	0.8269	0.1078	1.3601	0.002	0.0062	0.6455	500.0	
0.257	0.067	0.8273	0.1057	1.3598	0.002	0.0062	0.6439	500.0	
0.258	0.0668	0.8251	0.1082	1.3594	0.002	0.0062	0.6424	500.0	
0.259	0.0683	0.8231	0.1086	1.3591	0.002	0.0062	0.6409	500.0	
0.26	0.0684	0.8213	0.1103	1.3588	0.002	0.0062	0.6393	500.0	
0.261	0.0696	0.8196	0.1108	1.3585	0.0019	0.0062	0.6377	500.0	
0.262	0.0701	0.8179	0.112	1.3582	0.0019	0.0063	0.636	500.0	
0.263	0.0713	0.8162	0.1126	1.3578	0.0019	0.0063	0.6344	500.0	
0.264	0.0718	0.8141	0.1141	1.3575	0.0019	0.0063	0.6326	500.0	
0.265	0.073	0.8124	0.1147	1.3572	0.0019	0.0063	0.6309	500.0	
0.266	0.0736	0.8105	0.1159	1.3569	0.0018	0.0063	0.6293	500.0	
0.267	0.0741	0.8091	0.1168	1.3566	0.0018	0.0063	0.6275	500.0	
0.268	0.0752	0.8078	0.1171	1.3562	0.0018	0.0063	0.626	500.0	
0.269	0.0759	0.8048	0.1193	1.3559	0.0018	0.0063	0.6244	500.0	
0.27	0.0763	0.8029	0.1209	1.3556	0.0018	0.0062	0.623	500.0	
0.271	0.0773	0.8011	0.1216	1.3553	0.0018	0.0062	0.6218	500.0	
0.272	0.077	0.8011	0.1219	1.355	0.0017	0.0062	0.6207	500.0	
0.273	0.0765	0.8002	0.1233	1.3546	0.0017	0.0062	0.6199	500.0	
0.274	0.0767	0.8008	0.1224	1.3543	0.0017	0.0062	0.6192	500.0	
0.275	0.0768	0.8002	0.123	1.354	0.0017	0.0061	0.6187	500.0	
0.276	0.0769	0.8001	0.123	1.3538	0.0017	0.0061	0.6184	500.0	
0.277	0.0759	0.8002	0.1239	1.3536	0.0017	0.0061	0.6182	500.0	
0.278	0.0761	0.7999	0.1241	1.3534	0.0018	0.006	0.618	500.0	
0.279	0.0756	0.8001	0.1243	1.3532	0.0018	0.006	0.618	500.0	
0.28	0.0748	0.802	0.1232	1.353	0.0018	0.006	0.6181	500.0	
0.281	0.0736	0.802	0.1243	1.3528	0.0018	0.0059	0.6181	500.0	
0.282	0.0734	0.8027	0.1239	1.3526	0.0018	0.0059	0.6182	500.0	
0.283	0.0733	0.8041	0.1225	1.3524	0.0018	0.0059	0.6183	500.0	
0.284	0.0728	0.8023	0.1249	1.3522	0.0018	0.0058	0.6184	500.0	
0.285	0.0721	0.8044	0.1235	1.352	0.0018	0.0058	0.6186	500.0	
0.286	0.0715	0.8057	0.1228	1.3518	0.0018	0.0058	0.619	500.0	
0.287	0.0705	0.8078	0.1217	1.3516	0.0018	0.0057	0.6195	500.0	
0.288	0.0697	0.8083	0.122	1.3514	0.0019	0.0057	0.6207	500.0	
0.289	0.0673	0.8114	0.1213	1.3512	0.0019	0.0056	0.6223	500.0	
0.29	0.0669	0.8115	0.1216	1.351	0.0019	0.0056	0.6242	500.0	
0.291	0.065	0.8155	0.1196	1.3508	0.002	0.0055	0.6266	500.0	
0.292	0.0638	0.8168	0.1194	1.3506	0.002	0.0055	0.6291	500.0	
0.293	0.062	0.8215	0.1165	1.3504	0.002	0.0055	0.6317	500.0	
0.294	0.0609	0.8227	0.1164	1.3502	0.0021	0.0054	0.6342	500.0	
0.295	0.0595	0.8255	0.115	1.35	0.0021	0.0054	0.6368	500.0	
0.296	0.059	0.8268	0.1142	1.3498	0.0021	0.0053	0.6392	500.0	
0.297	0.0579	0.8289	0.1132	1.3496	0.0021	0.0053	0.6415	500.0	
0.298	0.0566	0.8299	0.1135	1.3494	0.0022	0.0053	0.6437	500.0	
0.299	0.056	0.8324	0.1117	1.3492	0.0022	0.0053	0.6455	500.0	
0.3	0.0551	0.8331	0.1118	1.349	0.0022	0.0052	0.6474	500.0	
0.301	0.0546	0.8343	0.1111	1.3489	0.0022	0.0052	0.6492	500.0	
0.302	0.0533	0.8381	0.1086	1.3488	0.0023	0.0052	0.6508	500.0	
0.303	0.053	0.837	0.11	1.3486	0.0023	0.0052	0.6522	500.0	
0.304	0.0536	0.8374	0.1091	1.3485	0.0023	0.0052	0.6536	500.0	
0.305	0.0524	0.8401	0.1075	1.3484	0.0023	0.0052	0.6549	500.0	
0.306	0.0519	0.8394	0.1086	1.3483	0.0023	0.0051	0.6562	500.0	
0.307	0.0514	0.8403	0.1083	1.3482	0.0023	0.0051	0.6573	500.0	
0.308	0.0513	0.8422	0.1065	1.348	0.0024	0.0051	0.6584	500.0	
0.309	0.0507	0.8412	0.108	1.3479	0.0024	0.0051	0.6593	500.0	
0.31	0.0501	0.8432	0.1067	1.3478	0.0024	0.0051	0.6602	500.0	
0.311	0.0503	0.8448	0.1049	1.3477	0.0024	0.0051	0.6611	500.0	
0.312	0.0495	0.8438	0.1067	1.3476	0.0024	0.0051	0.6618	500.0	
0.313	0.05	0.844	0.1059	1.3474	0.0024	0.0051	0.6625	500.0	
0.314	0.0498	0.8456	0.1046	1.3473	0.0024	0.0051	0.6631	500.0	
0.315	0.049	0.8471	0.104	1.3472	0.0024	0.0051	0.6637	500.0	
0.316	0.0488	0.8475	0.1036	1.3471	0.0024	0.0051	0.6642	500.0	
0.317	0.0485	0.8471	0.1044	1.347	0.0024	0.005	0.6647	500.0	
0.318	0.0486	0.8473	0.104	1.3468	0.0025	0.005	0.6651	500.0	
0.319	0.0486	0.848	0.1034	1.3467	0.0025	0.005	0.6655	500.0	
0.32	0.0485	0.8477	0.1038	1.3466	0.0025	0.005	0.6658	500.0	
0.321	0.0482	0.8491	0.1027	1.3465	0.0025	0.005	0.6661	500.0	
0.322	0.0482	0.848	0.1038	1.3464	0.0025	0.005	0.6664	500.0	
0.323	0.0481	0.8497	0.1023	1.3462	0.0025	0.005	0.6666	500.0	
0.324	0.0481	0.8483	0.1036	1.3461	0.0025	0.005	0.6668	500.0	
0.325	0.0482	0.8506	0.1013	1.346	0.0025	0.005	0.6669	500.0	
0.326	0.0476	0.8502	0.1022	1.3459	0.0025	0.005	0.6671	500.0	
0.327	0.0477	0.8495	0.1028	1.3458	0.0025	0.005	0.6672	500.0	
0.328	0.048	0.8505	0.1016	1.3456	0.0025	0.005	0.6673	500.0	
0.329	0.0474	0.8518	0.1007	1.3455	0.0025	0.005	0.6673	500.0	
0.33	0.0473	0.8514	0.1013	1.3454	0.0025	0.005	0.6674	500.0	
0.331	0.0473	0.8511	0.1016	1.3453	0.0025	0.005	0.6673	500.0	
0.332	0.0469	0.851	0.1021	1.3452	0.0025	0.005	0.6673	500.0	
0.333	0.0478	0.8509	0.1013	1.345	0.0025	0.005	0.6673	500.0	
0.334	0.0476	0.8506	0.1018	1.3449	0.0025	0.005	0.6672	500.0	
0.335	0.0469	0.853	0.1001	1.3448	0.0025	0.005	0.6671	500.0	
0.336	0.0475	0.8504	0.1021	1.3447	0.0025	0.005	0.6669	500.0	
0.337	0.0466	0.8523	0.1011	1.3446	0.0025	0.005	0.6668	500.0	
0.338	0.047	0.8532	0.0997	1.3444	0.0025	0.005	0.6666	500.0	
0.339	0.0468	0.8527	0.1006	1.3443	0.0025	0.005	0.6664	500.0	
0.34	0.0473	0.8512	0.1015	1.3442	0.0025	0.005	0.6661	500.0	
0.341	0.047	0.8534	0.0995	1.3441	0.0025	0.005	0.6658	500.0	
0.342	0.0472	0.8511	0.1017	1.344	0.0025	0.005	0.6655	500.0	
0.343	0.0472	0.8533	0.0994	1.3438	0.0025	0.005	0.6651	500.0	
0.344	0.047	0.8521	0.1009	1.3437	0.0025	0.005	0.6647	500.0	
0.345	0.0473	0.8519	0.1008	1.3436	0.0025	0.005	0.6643	500.0	
0.346	0.0475	0.8522	0.1003	1.3435	0.0025	0.005	0.6637	500.0	
0.347	0.0474	0.8532	0.0993	1.3434	0.0025	0.005	0.6632	500.0	
0.348	0.0477	0.8511	0.1013	1.3432	0.0025	0.005	0.6625	500.0	
0.349	0.0476	0.8512	0.1012	1.3431	0.0025	0.005	0.6618	500.0	
0.35	0.048	0.8529	0.0991	1.343	0.0025	0.005	0.661	500.0	
0.351	0.0481	0.8518	0.1001	1.3429	0.0025	0.005	0.6601	500.0	
0.352	0.0479	0.8516	0.1005	1.3428	0.0025	0.005	0.6592	500.0	
0.353	0.0485	0.8514	0.1001	1.3428	0.0025	0.005	0.6581	500.0	
0.354	0.0489	0.8496	0.1015	1.3427	0.0025	0.005	0.657	500.0	
