Sim 1

Solar R: 0.3208
Solar A: 0.5743
Solar T: 0.1049

Wavelength	R	A	T
0.25	0.0615	0.9225	0.016	
0.251	0.0632	0.9202	0.0166	
0.252	0.0632	0.9201	0.0167	
0.253	0.0645	0.9185	0.017	
0.254	0.0654	0.9175	0.0171	
0.255	0.0665	0.9162	0.0173	
0.256	0.0664	0.916	0.0177	
0.257	0.0673	0.9146	0.0181	
0.258	0.0681	0.9137	0.0181	
0.2591	0.0703	0.9113	0.0184	
0.2602	0.0707	0.9099	0.0194	
0.2613	0.0717	0.9089	0.0193	
0.2624	0.0727	0.9075	0.0198	
0.2635	0.0739	0.9057	0.0204	
0.2646	0.0744	0.9056	0.02	
0.2657	0.0749	0.9044	0.0208	
0.2668	0.0769	0.9021	0.021	
0.2679	0.0774	0.9008	0.0218	
0.269	0.078	0.8994	0.0225	
0.2701	0.0793	0.8985	0.0222	
0.2712	0.0793	0.8977	0.0229	
0.2724	0.0792	0.8976	0.0232	
0.2736	0.0789	0.8971	0.024	
0.2748	0.0791	0.897	0.0239	
0.276	0.0787	0.8972	0.0241	
0.2772	0.0782	0.8978	0.0239	
0.2784	0.0769	0.8986	0.0244	
0.2796	0.0765	0.8997	0.0238	
0.2808	0.0759	0.8997	0.0244	
0.2821	0.0753	0.9003	0.0244	
0.2834	0.0754	0.9006	0.024	
0.2847	0.0741	0.9022	0.0236	
0.286	0.0733	0.903	0.0237	
0.2873	0.0726	0.9038	0.0235	
0.2886	0.0712	0.9052	0.0237	
0.2899	0.0695	0.9077	0.0228	
0.2912	0.0668	0.9109	0.0223	
0.2925	0.0647	0.9139	0.0214	
0.2939	0.0622	0.9166	0.0212	
0.2953	0.0614	0.918	0.0206	
0.2967	0.0598	0.9199	0.0203	
0.2981	0.0583	0.9217	0.02	
0.2995	0.0576	0.9231	0.0193	
0.3009	0.0561	0.925	0.0189	
0.3023	0.0553	0.9263	0.0184	
0.3038	0.055	0.927	0.0181	
0.3053	0.0538	0.9278	0.0185	
0.3068	0.0527	0.93	0.0173	
0.3083	0.0525	0.9303	0.0172	
0.3098	0.052	0.9309	0.0171	
0.3113	0.0519	0.9318	0.0163	
0.3128	0.0513	0.9323	0.0165	
0.3144	0.0503	0.9334	0.0163	
0.316	0.0507	0.9332	0.016	
0.3176	0.0503	0.9337	0.016	
0.3192	0.0501	0.9337	0.0162	
0.3208	0.0494	0.9348	0.0158	
0.3225	0.0493	0.9351	0.0156	
0.3242	0.049	0.9355	0.0155	
0.3259	0.049	0.9353	0.0157	
0.3276	0.0487	0.9358	0.0155	
0.3293	0.0485	0.9361	0.0154	
0.331	0.0485	0.9359	0.0155	
0.3327	0.0487	0.9363	0.0149	
0.3345	0.0478	0.937	0.0151	
0.3363	0.0482	0.9372	0.0146	
0.3381	0.0487	0.9362	0.0151	
0.3399	0.0491	0.936	0.0149	
0.3417	0.0487	0.9365	0.0147	
0.3436	0.0488	0.9364	0.0148	
0.3455	0.0488	0.9369	0.0144	
0.3474	0.0489	0.9368	0.0144	
0.3493	0.0492	0.9363	0.0145	
