Sim 1

Solar R: 0.263
Solar A: 0.5421
Solar T: 0.1949

Wavelength	R	A	T
0.25	0.0634	0.821	0.1156	
0.251	0.0644	0.8211	0.1146	
0.252	0.065	0.8199	0.1151	
0.253	0.0655	0.8179	0.1165	
0.254	0.0662	0.8171	0.1167	
0.255	0.0668	0.8147	0.1185	
0.256	0.0673	0.8163	0.1164	
0.257	0.0689	0.8119	0.1192	
0.258	0.069	0.8129	0.1181	
0.2591	0.0701	0.8095	0.1204	
0.2602	0.0714	0.8076	0.1211	
0.2613	0.0719	0.8055	0.1226	
0.2624	0.0723	0.8037	0.1239	
0.2635	0.0745	0.801	0.1245	
0.2646	0.0748	0.8001	0.1251	
0.2657	0.0757	0.7999	0.1244	
0.2668	0.0765	0.7962	0.1274	
0.2679	0.0779	0.7929	0.1291	
0.269	0.0776	0.7927	0.1297	
0.2701	0.079	0.7898	0.1312	
0.2712	0.0787	0.7879	0.1334	
0.2724	0.0789	0.7865	0.1346	
0.2736	0.0786	0.7874	0.134	
0.2748	0.0793	0.7876	0.1331	
0.276	0.0797	0.7849	0.1354	
0.2772	0.0792	0.7859	0.1348	
0.2784	0.0781	0.7858	0.1361	
0.2796	0.0769	0.7861	0.137	
0.2808	0.0763	0.787	0.1368	
0.2821	0.0763	0.7883	0.1355	
0.2834	0.0745	0.7892	0.1363	
0.2847	0.0737	0.7905	0.1358	
0.286	0.0732	0.7912	0.1356	
0.2873	0.0722	0.7942	0.1336	
0.2886	0.0706	0.7944	0.135	
0.2899	0.0678	0.7983	0.1339	
0.2912	0.0657	0.8012	0.1331	
0.2925	0.0643	0.8057	0.1301	
0.2939	0.0622	0.8086	0.1292	
0.2953	0.0607	0.8132	0.1262	
0.2967	0.059	0.8145	0.1265	
0.2981	0.058	0.8176	0.1244	
0.2995	0.0562	0.8211	0.1227	
0.3009	0.0556	0.8234	0.121	
0.3023	0.0542	0.8242	0.1217	
0.3038	0.0538	0.8244	0.1217	
0.3053	0.0529	0.8273	0.1198	
0.3068	0.0522	0.8278	0.12	
0.3083	0.0518	0.8316	0.1166	
0.3098	0.0513	0.8315	0.1172	
0.3113	0.0512	0.832	0.1168	
0.3128	0.051	0.8325	0.1165	
0.3144	0.0502	0.8342	0.1156	
0.316	0.0501	0.8337	0.1162	
0.3176	0.0494	0.8353	0.1153	
0.3192	0.0496	0.8353	0.1151	
0.3208	0.0491	0.8365	0.1143	
0.3225	0.0488	0.8366	0.1146	
0.3242	0.0488	0.8387	0.1125	
0.3259	0.0482	0.8382	0.1136	
0.3276	0.0481	0.8374	0.1146	
0.3293	0.0478	0.8376	0.1146	
0.331	0.0484	0.8375	0.1141	
0.3327	0.0481	0.8396	0.1122	
0.3345	0.0478	0.8404	0.1118	
0.3363	0.0471	0.8405	0.1124	
0.3381	0.048	0.8399	0.1121	
0.3399	0.0486	0.8393	0.1122	
0.3417	0.0482	0.8398	0.112	
0.3436	0.0478	0.8411	0.1111	
0.3455	0.0482	0.8402	0.1117	
0.3474	0.0482	0.8385	0.1133	
0.3493	0.0484	0.8402	0.1114	
0.3512	0.0484	0.8392	0.1125	
0.3531	0.0494	0.8376	0.113	
0.3551	0.0495	0.8372	0.1133	
0.3571	0.0498	0.8362	0.114	
0.3591	0.0506	0.835	0.1143	
0.3612	0.0508	0.8334	0.1158	
0.3633	0.0521	0.833	0.1149	
0.3654	0.0518	0.8313	0.1169	
0.3675	0.052	0.8309	0.1171	
0.3696	0.0508	0.8338	0.1154	
0.3718	0.0504	0.8344	0.1152	
0.374	0.0493	0.8356	0.1152	
0.3762	0.0476	0.8383	0.1142	
0.3785	0.0464	0.8403	0.1133	
0.3808	0.0458	0.8425	0.1117	
0.3831	0.0448	0.8439	0.1113	
0.3854	0.0436	0.8476	0.1088	
0.3877	0.0431	0.848	0.1088	
0.3901	0.043	0.8495	0.1074	
0.3925	0.042	0.8525	0.1055	
0.395	0.0411	0.8552	0.1038	
0.3975	0.0405	0.8547	0.1048	
0.4	0.0405	0.8546	0.1049	
0.4025	0.04	0.8567	0.1033	
0.405	0.0395	0.8603	0.1002	
0.4076	0.039	0.8603	0.1007	
0.4102	0.0381	0.8606	0.1013	
0.4129	0.0379	0.861	0.1011	
0.4156	0.0389	0.8619	0.0992	
0.4184	0.0394	0.8616	0.0989	
0.4212	0.0388	0.8647	0.0966	
0.424	0.0387	0.8641	0.0971	
0.4269	0.0392	0.8639	0.0969	
0.4298	0.0407	0.8649	0.0944	
0.4328	0.0413	0.8635	0.0952	
0.4358	0.0398	0.8627	0.0975	
0.4389	0.0378	0.8662	0.096	
0.442	0.0366	0.8625	0.1009	
0.4451	0.0386	0.8618	0.0996	
0.4482	0.0408	0.8625	0.0968	
0.4514	0.0427	0.8652	0.0921	
0.4547	0.043	0.8685	0.0885	
0.458	0.0402	0.87	0.0897	
0.4614	0.0381	0.8686	0.0933	
0.4648	0.0385	0.8654	0.0961	
0.4682	0.0415	0.8661	0.0924	
0.4717	0.0469	0.8666	0.0866	
0.4753	0.0568	0.8602	0.0829	
0.4789	0.0652	0.8454	0.0895	
0.4826	0.0655	0.8382	0.0964	
0.4863	0.0605	0.841	0.0986	
0.4901	0.0525	0.8522	0.0953	
0.4939	0.0519	0.8535	0.0945	
0.4978	0.0555	0.8543	0.0902	
0.5018	0.0632	0.8487	0.0881	
0.5058	0.0731	0.829	0.0979	
0.5099	0.0796	0.814	0.1064	
0.5141	0.0799	0.8167	0.1034	
0.5183	0.0699	0.8402	0.0899	
0.5226	0.0607	0.859	0.0803	
0.527	0.0575	0.8545	0.0879	
0.5315	0.0607	0.8139	0.1254	
0.536	0.0607	0.8013	0.1381	
0.5405	0.0698	0.7827	0.1476	
0.5452	0.0858	0.7636	0.1506	
0.55	0.0943	0.7777	0.1281	
0.5548	0.0967	0.8232	0.0801	
0.5597	0.1118	0.7988	0.0894	
0.5647	0.1344	0.7725	0.0931	
0.5698	0.1281	0.7789	0.093	
0.575	0.1281	0.7592	0.1127	
0.5803	0.1168	0.7279	0.1553	
0.5857	0.1059	0.7191	0.1751	
0.5911	0.1136	0.7087	0.1777	
0.5967	0.1288	0.7241	0.1471	
0.6024	0.129	0.7872	0.0839	
0.6082	0.1473	0.7888	0.0639	
0.6142	0.1913	0.7036	0.1051	
0.6202	0.2287	0.6273	0.144	
0.6263	0.2366	0.6047	0.1587	
0.6326	0.2535	0.5684	0.1781	
0.639	0.2415	0.5695	0.189	
0.6455	0.2192	0.5854	0.1954	
0.6521	0.185	0.6453	0.1697	
0.6589	0.1759	0.6736	0.1505	
0.6658	0.1453	0.7674	0.0873	
0.6729	0.2013	0.6853	0.1135	
0.6801	0.2283	0.6448	0.1269	
0.6874	0.2633	0.5567	0.18	
0.695	0.2901	0.483	0.227	
0.7027	0.3143	0.4241	0.2616	
0.7106	0.3287	0.3878	0.2835	
0.7187	0.3211	0.4018	0.277	
0.7269	0.276	0.4915	0.2325	
0.7353	0.1927	0.6775	0.1298	
0.7439	0.2314	0.6129	0.1557	
0.7527	0.1656	0.7762	0.0582	
0.7618	0.2405	0.5139	0.2456	
0.771	0.2466	0.4664	0.2871	
0.7805	0.2497	0.422	0.3283	
0.7902	0.27	0.3588	0.3712	
0.8001	0.2955	0.3002	0.4043	
0.8103	0.3225	0.2656	0.4119	
0.8189	0.3545	0.2209	0.4246	
0.8239	0.4032	0.1326	0.4642	
0.8273	0.4361	0.0732	0.4907	
0.8307	0.4384	0.0825	0.479	
0.8345	0.4404	0.1052	0.4544	
0.8408	0.4286	0.2631	0.3083	
0.8508	0.4752	0.186	0.3388	
0.8608	0.5155	0.1073	0.3772	
0.8708	0.5678	0.1361	0.296	
0.8808	0.5926	0.1602	0.2472	
0.8908	0.5565	0.119	0.3245	
0.9008	0.4939	0.0828	0.4233	
0.9108	0.4378	0.0729	0.4893	
0.9208	0.3754	0.0694	0.5552	
0.9308	0.3273	0.0738	0.5989	
0.9408	0.2923	0.083	0.6247	
0.9508	0.2824	0.0923	0.6253	
0.9608	0.3002	0.0948	0.605	
0.9708	0.3322	0.1009	0.5669	
0.9808	0.3692	0.1065	0.5243	
0.9908	0.4229	0.1163	0.4608	
1.0008	0.493	0.1505	0.3565	
1.0108	0.5757	0.2406	0.1837	
1.0208	0.5887	0.2045	0.2068	
1.0308	0.5657	0.143	0.2914	
1.0408	0.5684	0.128	0.3036	
1.0508	0.5767	0.1281	0.2952	
1.0608	0.5898	0.1301	0.2801	
1.0708	0.5987	0.1335	0.2678	
1.0808	0.6062	0.1351	0.2587	
1.0908	0.601	0.1383	0.2607	
1.1008	0.5985	0.1408	0.2607	
1.1108	0.5922	0.1429	0.2649	
1.1208	0.5871	0.13	0.2829	
1.1308	0.5741	0.134	0.2919	
1.1408	0.5607	0.1383	0.301	
1.1508	0.5485	0.1423	0.3092	
1.1608	0.5353	0.1469	0.3178	
1.1708	0.5252	0.1502	0.3245	
1.1808	0.5197	0.1542	0.3261	
1.1908	0.5134	0.1583	0.3283	
1.2008	0.5092	0.1687	0.3221	
1.2108	0.4698	0.2485	0.2817	
1.2208	0.4463	0.3105	0.2433	
1.2308	0.4249	0.3648	0.2103	
1.2408	0.4127	0.4101	0.1772	
1.2508	0.4123	0.4453	0.1424	
1.2608	0.4158	0.4733	0.1109	
1.2708	0.4233	0.4927	0.084	
1.2808	0.4289	0.5088	0.0623	
1.2908	0.4276	0.5225	0.0499	
1.3008	0.4118	0.5417	0.0466	
1.3108	0.3879	0.5646	0.0475	
1.3208	0.3626	0.587	0.0504	
1.3308	0.3404	0.6072	0.0524	
1.3408	0.3206	0.6252	0.0542	
1.3508	0.3061	0.6389	0.0551	
1.3608	0.2936	0.6533	0.0531	
1.3708	0.2845	0.6641	0.0514	
1.3808	0.2778	0.6745	0.0477	
1.3908	0.2716	0.6826	0.0458	
1.4008	0.2672	0.6896	0.0433	
1.4108	0.2715	0.6828	0.0457	
1.4208	0.276	0.6779	0.0461	
1.4308	0.2822	0.6712	0.0466	
1.4408	0.2885	0.6632	0.0483	
1.4508	0.2915	0.6592	0.0494	
1.4608	0.2982	0.6512	0.0507	
1.4708	0.3053	0.6439	0.0509	
1.4808	0.31	0.6374	0.0526	
1.4908	0.3183	0.6281	0.0536	
1.5008	0.3242	0.6201	0.0557	
1.5108	0.3301	0.6138	0.056	
1.5208	0.3384	0.6046	0.057	
1.5308	0.3432	0.598	0.0588	
1.5408	0.3506	0.5892	0.0603	
1.5508	0.3572	0.5811	0.0617	
1.5608	0.3648	0.5732	0.062	
1.5708	0.3725	0.5632	0.0643	
1.5808	0.3794	0.5544	0.0662	
1.5908	0.3865	0.5461	0.0673	
1.6008	0.3947	0.536	0.0693	
1.6108	0.3947	0.5387	0.0666	
1.6208	0.3952	0.5402	0.0646	
1.6308	0.3954	0.5418	0.0629	
1.6408	0.3977	0.5422	0.0602	
1.6508	0.3963	0.5445	0.0592	
1.6608	0.3963	0.5462	0.0575	
1.6708	0.398	0.5464	0.0556	
1.6808	0.3999	0.5465	0.0536	
1.6908	0.3979	0.5495	0.0526	
1.7008	0.4002	0.5495	0.0503	
1.7108	0.3989	0.5515	0.0496	
1.7208	0.4011	0.5514	0.0476	
1.7308	0.4001	0.5534	0.0466	
1.7408	0.4009	0.5534	0.0457	
1.7508	0.3997	0.5557	0.0446	
1.7608	0.3973	0.5585	0.0442	
1.7708	0.3988	0.5579	0.0433	
1.7808	0.3927	0.5632	0.0441	
1.7908	0.3905	0.5654	0.0441	
1.8008	0.3832	0.5737	0.0432	
1.8108	0.3254	0.6482	0.0265	
1.8208	0.2832	0.6993	0.0175	
1.8308	0.2486	0.7388	0.0126	
1.8408	0.2189	0.7712	0.0098	
1.8508	0.1953	0.7972	0.0075	
1.8608	0.1739	0.8198	0.0063	
1.8708	0.1563	0.8385	0.0053	
1.8808	0.1379	0.8572	0.0049	
1.8908	0.124	0.8717	0.0044	
1.9008	0.1117	0.8842	0.0041	
1.9108	0.099	0.8971	0.0038	
1.9208	0.0886	0.9077	0.0037	
1.9308	0.0805	0.916	0.0035	
1.9408	0.0741	0.9224	0.0035	
1.9508	0.0681	0.9287	0.0032	
1.9608	0.0621	0.935	0.003	
1.9708	0.0578	0.9394	0.0028	
1.9808	0.0535	0.9437	0.0028	
1.9908	0.0506	0.9466	0.0028	
2.0008	0.0473	0.95	0.0026	
2.0108	0.0473	0.9493	0.0033	
2.0208	0.0476	0.9481	0.0043	
2.0308	0.0483	0.9463	0.0055	
2.0408	0.0478	0.9451	0.0071	
2.0508	0.0488	0.9428	0.0085	
2.0608	0.0495	0.9396	0.0109	
2.0708	0.0505	0.9367	0.0128	
2.0808	0.0517	0.9323	0.016	
2.0908	0.0531	0.9273	0.0197	
2.1008	0.0551	0.9212	0.0237	
2.1108	0.0558	0.9151	0.0291	
2.1208	0.0581	0.9068	0.0351	
2.1308	0.0603	0.8975	0.0422	
2.1408	0.0629	0.887	0.0501	
2.1508	0.0672	0.8723	0.0605	
2.1608	0.0702	0.8577	0.0721	
2.1708	0.0754	0.8387	0.0859	
2.1808	0.0811	0.817	0.1019	
2.1908	0.0878	0.7923	0.1199	
2.2008	0.0948	0.7648	0.1403	
2.2108	0.0863	0.7862	0.1276	
2.2208	0.0797	0.8052	0.1151	
2.2308	0.0735	0.8207	0.1059	
2.2408	0.0695	0.8337	0.0968	
2.2508	0.0646	0.8474	0.0879	
2.2608	0.061	0.8558	0.0832	
2.2708	0.058	0.8663	0.0758	
2.2808	0.0546	0.8749	0.0705	
2.2908	0.0518	0.8823	0.0658	
2.3008	0.05	0.8887	0.0613	
2.3108	0.0477	0.8961	0.0562	
2.3208	0.0456	0.9013	0.053	
2.3308	0.0436	0.9076	0.0488	
2.3408	0.0426	0.9114	0.046	
2.3508	0.0411	0.916	0.0429	
2.3608	0.0402	0.9188	0.041	
2.3708	0.0382	0.925	0.0368	
2.3808	0.0375	0.9272	0.0353	
2.3908	0.0358	0.9312	0.0329	
2.4008	0.0351	0.9342	0.0307	
2.4108	0.0328	0.9442	0.023	
2.4208	0.0306	0.9518	0.0175	
2.4308	0.0286	0.9577	0.0137	
2.4408	0.0273	0.9621	0.0105	
2.4508	0.0261	0.9654	0.0085	
