Sim 1

Solar R: 0.2544
Solar A: 0.5598
Solar T: 0.1859

WL	R	A	T	n(1)	mu_a(1)	mu_s(1)	g(1)	t(1)
0.25	0.0627	0.8317	0.1056	1.362	0.0021	0.0061	0.6544	500.0	
0.251	0.0628	0.8341	0.1031	1.3617	0.0021	0.0061	0.6528	500.0	
0.252	0.0639	0.8309	0.1052	1.3614	0.0021	0.0061	0.6513	500.0	
0.253	0.0642	0.8295	0.1063	1.361	0.0021	0.0061	0.6497	500.0	
0.254	0.0647	0.8293	0.106	1.3607	0.0021	0.0062	0.6485	500.0	
0.255	0.0658	0.8272	0.107	1.3604	0.002	0.0062	0.6469	500.0	
0.256	0.0658	0.8266	0.1076	1.3601	0.002	0.0062	0.6455	500.0	
0.257	0.0661	0.8261	0.1077	1.3598	0.002	0.0062	0.644	500.0	
0.258	0.068	0.8242	0.1078	1.3594	0.002	0.0062	0.6425	500.0	
0.259	0.0682	0.8227	0.1092	1.3591	0.002	0.0062	0.641	500.0	
0.26	0.0688	0.8215	0.1097	1.3588	0.002	0.0062	0.6395	500.0	
0.261	0.0698	0.8195	0.1107	1.3585	0.0019	0.0062	0.6379	500.0	
0.262	0.0705	0.8183	0.1113	1.3582	0.0019	0.0063	0.6363	500.0	
0.263	0.0706	0.8172	0.1121	1.3578	0.0019	0.0063	0.6346	500.0	
0.264	0.0724	0.815	0.1126	1.3575	0.0019	0.0063	0.6329	500.0	
0.265	0.0727	0.8127	0.1146	1.3572	0.0019	0.0063	0.6311	500.0	
0.266	0.0734	0.8101	0.1165	1.3569	0.0018	0.0063	0.6294	500.0	
0.267	0.0736	0.8096	0.1168	1.3566	0.0018	0.0063	0.6276	500.0	
0.268	0.075	0.8071	0.1179	1.3562	0.0018	0.0063	0.626	500.0	
0.269	0.0761	0.8043	0.1196	1.3559	0.0018	0.0062	0.6244	500.0	
0.27	0.0758	0.8029	0.1213	1.3556	0.0018	0.0062	0.6229	500.0	
0.271	0.0768	0.8025	0.1207	1.3553	0.0018	0.0062	0.6217	500.0	
0.272	0.077	0.8006	0.1224	1.355	0.0017	0.0062	0.6206	500.0	
0.273	0.0771	0.7996	0.1233	1.3546	0.0017	0.0062	0.6197	500.0	
0.274	0.077	0.8004	0.1226	1.3543	0.0017	0.0061	0.6191	500.0	
0.275	0.0765	0.8002	0.1233	1.354	0.0017	0.0061	0.6186	500.0	
0.276	0.0773	0.7998	0.1229	1.3538	0.0017	0.0061	0.6183	500.0	
0.277	0.0763	0.7994	0.1243	1.3536	0.0017	0.0061	0.6181	500.0	
0.278	0.076	0.801	0.123	1.3534	0.0018	0.006	0.618	500.0	
0.279	0.0751	0.8017	0.1232	1.3532	0.0018	0.006	0.6181	500.0	
0.28	0.0746	0.8019	0.1235	1.353	0.0018	0.006	0.6182	500.0	
0.281	0.0744	0.8028	0.1228	1.3528	0.0018	0.0059	0.6183	500.0	
0.282	0.0733	0.8017	0.125	1.3526	0.0018	0.0059	0.6184	500.0	
0.283	0.0729	0.8016	0.1255	1.3524	0.0018	0.0059	0.6185	500.0	
0.284	0.0723	0.803	0.1247	1.3522	0.0018	0.0058	0.6186	500.0	
0.285	0.0719	0.8031	0.125	1.352	0.0018	0.0058	0.6188	500.0	
0.286	0.0722	0.8041	0.1237	1.3518	0.0018	0.0058	0.6192	500.0	
0.287	0.0714	0.8058	0.1228	1.3516	0.0018	0.0057	0.6197	500.0	
0.288	0.0695	0.8065	0.124	1.3514	0.0019	0.0057	0.6209	500.0	
0.289	0.0678	0.8105	0.1217	1.3512	0.0019	0.0056	0.6224	500.0	
0.29	0.0666	0.8116	0.1218	1.351	0.0019	0.0056	0.6243	500.0	
0.291	0.0648	0.8148	0.1205	1.3508	0.002	0.0055	0.6267	500.0	
0.292	0.0639	0.8168	0.1194	1.3506	0.002	0.0055	0.6292	500.0	
0.293	0.0627	0.8202	0.1172	1.3504	0.002	0.0055	0.6318	500.0	
0.294	0.0613	0.821	0.1177	1.3502	0.0021	0.0054	0.6343	500.0	
0.295	0.0597	0.8252	0.115	1.35	0.0021	0.0054	0.6368	500.0	
0.296	0.059	0.8266	0.1144	1.3498	0.0021	0.0053	0.6392	500.0	
0.297	0.0574	0.8276	0.115	1.3496	0.0021	0.0053	0.6415	500.0	
0.298	0.0571	0.8306	0.1123	1.3494	0.0022	0.0053	0.6437	500.0	
0.299	0.0561	0.8324	0.1115	1.3492	0.0022	0.0053	0.6455	500.0	
0.3	0.055	0.8329	0.1122	1.349	0.0022	0.0052	0.6474	500.0	
0.301	0.0544	0.8353	0.1103	1.3489	0.0022	0.0052	0.6492	500.0	
0.302	0.0537	0.8365	0.1098	1.3488	0.0023	0.0052	0.6508	500.0	
0.303	0.0533	0.838	0.1087	1.3486	0.0023	0.0052	0.6522	500.0	
0.304	0.0528	0.8378	0.1094	1.3485	0.0023	0.0052	0.6536	500.0	
0.305	0.0524	0.839	0.1086	1.3484	0.0023	0.0052	0.6549	500.0	
0.306	0.0511	0.8412	0.1077	1.3483	0.0023	0.0051	0.6562	500.0	
0.307	0.0519	0.8391	0.109	1.3482	0.0023	0.0051	0.6573	500.0	
0.308	0.0513	0.8403	0.1084	1.348	0.0024	0.0051	0.6584	500.0	
0.309	0.0506	0.8417	0.1077	1.3479	0.0024	0.0051	0.6594	500.0	
0.31	0.0504	0.843	0.1066	1.3478	0.0024	0.0051	0.6603	500.0	
0.311	0.05	0.8439	0.1062	1.3477	0.0024	0.0051	0.6611	500.0	
0.312	0.05	0.845	0.105	1.3476	0.0024	0.0051	0.6619	500.0	
0.313	0.0495	0.8448	0.1056	1.3474	0.0024	0.0051	0.6626	500.0	
