Sim 3

Solar R: 0.2831
Solar A: 0.7169
Solar T: 0.0

Wavelength	R	A	T
0.25	0.0553	0.9447	0.0	
0.2538	0.055	0.945	0.0	
0.2577	0.0547	0.9453	0.0	
0.2615	0.0542	0.9458	0.0	
0.2654	0.054	0.946	0.0	
0.2692	0.0537	0.9463	0.0	
0.2725	0.0535	0.9465	0.0	
0.2755	0.0531	0.9469	0.0	
0.2785	0.0529	0.9471	0.0	
0.2817	0.0525	0.9475	0.0	
0.2852	0.0523	0.9477	0.0	
0.2891	0.0522	0.9478	0.0	
0.2929	0.0518	0.9482	0.0	
0.2968	0.0512	0.9488	0.0	
0.3006	0.0511	0.9489	0.0	
0.3044	0.051	0.949	0.0	
0.3083	0.0506	0.9494	0.0	
0.3119	0.0505	0.9495	0.0	
0.3154	0.0502	0.9498	0.0	
0.3187	0.0502	0.9498	0.0	
0.3219	0.0499	0.9501	0.0	
0.3249	0.0496	0.9504	0.0	
0.3279	0.0496	0.9504	0.0	
0.3314	0.0491	0.9509	0.0	
0.3353	0.0488	0.9512	0.0	
0.3391	0.0487	0.9513	0.0	
0.3429	0.0482	0.9518	0.0	
0.3468	0.048	0.952	0.0	
0.3506	0.0478	0.9522	0.0	
0.3545	0.0474	0.9526	0.0	
0.3583	0.0474	0.9526	0.0	
0.3622	0.0473	0.9527	0.0	
0.366	0.0472	0.9528	0.0	
0.3698	0.0471	0.9529	0.0	
0.3737	0.047	0.953	0.0	
0.3775	0.0469	0.9531	0.0	
0.3814	0.0469	0.9531	0.0	
0.3852	0.0468	0.9532	0.0	
0.389	0.0469	0.9531	0.0	
0.3929	0.0469	0.9531	0.0	
0.3967	0.0468	0.9532	0.0	
0.4006	0.0471	0.9529	0.0	
0.4045	0.0469	0.9531	0.0	
0.4094	0.0468	0.9532	0.0	
0.4167	0.0469	0.9531	0.0	
0.4267	0.0467	0.9533	0.0	
0.4367	0.0469	0.9531	0.0	
0.4467	0.0467	0.9533	0.0	
0.4567	0.0468	0.9532	0.0	
0.4667	0.0466	0.9534	0.0	
0.4767	0.0467	0.9533	0.0	
0.4867	0.0468	0.9532	0.0	
0.4967	0.0469	0.9531	0.0	
0.5067	0.0468	0.9532	0.0	
0.5167	0.0466	0.9534	0.0	
0.5267	0.0465	0.9535	0.0	
0.5367	0.0466	0.9534	0.0	
0.5467	0.047	0.953	0.0	
0.5567	0.0475	0.9525	0.0	
0.5667	0.0485	0.9515	0.0	
0.5767	0.0504	0.9496	0.0	
0.5867	0.0532	0.9468	0.0	
0.5967	0.0588	0.9412	0.0	
0.6067	0.0684	0.9316	0.0	
0.6167	0.0837	0.9163	0.0	
0.6267	0.1016	0.8984	0.0	
0.6367	0.1183	0.8817	0.0	
0.6467	0.1354	0.8646	0.0	
0.6567	0.1532	0.8468	0.0	
0.6667	0.1787	0.8213	0.0	
0.6767	0.2061	0.7939	0.0	
0.6867	0.2289	0.7711	0.0	
0.6967	0.2513	0.7487	0.0	
0.7067	0.2766	0.7234	0.0	
0.7167	0.2957	0.7043	0.0	
0.7267	0.3182	0.6818	0.0	
0.7367	0.3405	0.6595	0.0	
0.7467	0.3566	0.6434	0.0	
0.7567	0.3696	0.6304	0.0	
0.7667	0.3779	0.6221	0.0	
0.7767	0.3896	0.6104	0.0	
0.7867	0.3968	0.6032	0.0	
0.7967	0.3922	0.6078	0.0	
0.8067	0.3772	0.6228	0.0	
0.8167	0.3597	0.6403	0.0	
0.8267	0.3504	0.6496	0.0	
0.8367	0.3461	0.6539	0.0	
0.8467	0.3398	0.6602	0.0	
0.8567	0.3393	0.6607	0.0	
0.8667	0.3489	0.6511	0.0	
0.8767	0.3546	0.6454	0.0	
0.8867	0.3576	0.6424	0.0	
0.8967	0.3739	0.6261	0.0	
0.9067	0.384	0.616	0.0	
0.9167	0.3919	0.6081	0.0	
0.9267	0.3999	0.6001	0.0	
0.9367	0.3999	0.6001	0.0	
0.9467	0.4113	0.5887	0.0	
0.9567	0.4243	0.5757	0.0	
0.9667	0.4367	0.5633	0.0	
0.9767	0.4611	0.5389	0.0	
0.9867	0.4804	0.5196	0.0	
0.9967	0.5061	0.4939	0.0	
1.0067	0.5206	0.4794	0.0	
1.0167	0.5282	0.4718	0.0	
1.0267	0.5477	0.4523	0.0	
1.0367	0.567	0.433	0.0	
1.0467	0.5862	0.4138	0.0	
1.0567	0.594	0.406	0.0	
1.0667	0.5965	0.4035	0.0	
1.0767	0.6004	0.3996	0.0	
1.0867	0.602	0.398	0.0	
1.0967	0.6034	0.3966	0.0	
1.1067	0.6052	0.3948	0.0	
1.1167	0.6067	0.3933	0.0	
1.1267	0.6084	0.3916	0.0	
1.1367	0.6246	0.3754	0.0	
1.1467	0.6288	0.3712	0.0	
1.1567	0.6352	0.3648	0.0	
1.1667	0.6355	0.3645	0.0	
1.1767	0.6181	0.3819	0.0	
1.1867	0.6087	0.3913	0.0	
1.1967	0.6062	0.3938	0.0	
1.2067	0.6095	0.3905	0.0	
1.2167	0.6187	0.3813	0.0	
1.2267	0.6233	0.3767	0.0	
1.2367	0.6297	0.3703	0.0	
1.2467	0.6308	0.3692	0.0	
1.2567	0.632	0.368	0.0	
1.2667	0.6428	0.3572	0.0	
1.2767	0.6506	0.3494	0.0	
1.2867	0.6409	0.359	0.0	
1.2967	0.6234	0.3766	0.0	
1.3067	0.611	0.3889	0.0	
1.3167	0.6073	0.3927	0.0	
1.3267	0.6088	0.3912	0.0	
1.3367	0.6088	0.3912	0.0	
1.3467	0.6043	0.3957	0.0	
1.3567	0.6014	0.3986	0.0	
1.3667	0.5958	0.4042	0.0	
1.3767	0.5805	0.4195	0.0	
1.3867	0.5673	0.4327	0.0	
1.3967	0.5653	0.4347	0.0	
1.4067	0.5572	0.4428	0.0	
1.4167	0.5438	0.4561	0.0	
1.4267	0.5402	0.4598	0.0	
1.4367	0.5447	0.4553	0.0	
1.4467	0.5457	0.4543	0.0	
1.4567	0.5539	0.4461	0.0	
1.4667	0.5587	0.4413	0.0	
1.4767	0.5562	0.4438	0.0	
1.4867	0.5554	0.4446	0.0	
1.4967	0.5494	0.4506	0.0	
1.5049	0.5483	0.4516	0.0	
1.5111	0.5494	0.4505	0.0	
1.5173	0.5445	0.4555	0.0	
1.5235	0.5451	0.4549	0.0	
1.5297	0.5399	0.4601	0.0	
1.5359	0.5353	0.4646	0.0001	
1.5421	0.5337	0.4663	0.0001	
1.5483	0.5376	0.4624	0.0001	
1.5545	0.5396	0.4604	0.0001	
1.5607	0.5434	0.4565	0.0	
1.5669	0.5452	0.4547	0.0001	
1.5731	0.5479	0.452	0.0001	
1.5793	0.5453	0.4546	0.0	
1.5855	0.5398	0.4602	0.0001	
1.5917	0.5324	0.4675	0.0	
1.5979	0.5318	0.4681	0.0001	
1.6041	0.5266	0.4733	0.0001	
1.6103	0.5195	0.4804	0.0001	
1.6165	0.5203	0.4796	0.0001	
1.6227	0.518	0.4819	0.0001	
1.6289	0.5123	0.4877	0.0001	
1.6351	0.5104	0.4895	0.0001	
1.6413	0.5099	0.49	0.0001	
1.6475	0.5106	0.4892	0.0001	
1.6537	0.5046	0.4953	0.0001	
1.6599	0.4986	0.5013	0.0001	
1.6661	0.4798	0.5201	0.0001	
1.6723	0.4598	0.5402	0.0	
1.6785	0.438	0.562	0.0	
1.6847	0.421	0.579	0.0	
1.6909	0.4136	0.5864	0.0	
1.6971	0.415	0.585	0.0	
1.7033	0.4151	0.5849	0.0	
1.7095	0.4218	0.5782	0.0	
1.7157	0.4172	0.5828	0.0	
1.7219	0.415	0.585	0.0	
1.7281	0.4164	0.5836	0.0	
1.7343	0.4212	0.5788	0.0	
1.7405	0.428	0.572	0.0	
1.7467	0.4389	0.5611	0.0	
1.7529	0.4423	0.5577	0.0	
1.7591	0.4493	0.5507	0.0001	
1.7653	0.4581	0.5418	0.0001	
1.7715	0.4607	0.5392	0.0001	
1.7777	0.4694	0.5304	0.0002	
1.7839	0.4771	0.5227	0.0002	
1.7901	0.4839	0.5159	0.0003	
1.7963	0.489	0.5107	0.0003	
1.8025	0.494	0.5056	0.0003	
1.8087	0.4878	0.5119	0.0003	
1.8149	0.4886	0.5111	0.0003	
1.8211	0.4921	0.5075	0.0004	
1.8273	0.4904	0.5091	0.0005	
1.8335	0.4893	0.5102	0.0005	
1.8397	0.4956	0.5039	0.0006	
1.8459	0.4944	0.5051	0.0005	
1.8521	0.4877	0.5117	0.0006	
1.8583	0.4834	0.516	0.0005	
1.8645	0.4746	0.5248	0.0006	
1.8707	0.4665	0.5328	0.0007	
1.8769	0.4627	0.5366	0.0006	
1.8831	0.4567	0.5426	0.0007	
1.8893	0.4571	0.5421	0.0007	
1.8955	0.4514	0.548	0.0005	
1.9017	0.4471	0.5525	0.0004	
1.9079	0.4464	0.5531	0.0005	
1.9141	0.4469	0.5528	0.0004	
1.9203	0.4463	0.5533	0.0004	
1.9265	0.4494	0.5502	0.0005	
1.9327	0.4481	0.5514	0.0005	
1.9389	0.4525	0.547	0.0006	
