Sim 1

Solar R: 0.4754
Solar A: 0.5245
Solar T: 0.0

Wavelength	R	A	T
0.25	0.0554	0.9446	0.0	
0.2538	0.0549	0.9451	0.0	
0.2577	0.0548	0.9452	0.0	
0.2615	0.0542	0.9458	0.0	
0.2654	0.0541	0.9459	0.0	
0.2692	0.0538	0.9462	0.0	
0.2725	0.0534	0.9466	0.0	
0.2755	0.053	0.947	0.0	
0.2785	0.0531	0.9469	0.0	
0.2817	0.0526	0.9474	0.0	
0.2852	0.0522	0.9478	0.0	
0.2891	0.0519	0.9481	0.0	
0.2929	0.0516	0.9484	0.0	
0.2968	0.0513	0.9487	0.0	
0.3006	0.0511	0.9489	0.0	
0.3044	0.0508	0.9492	0.0	
0.3083	0.0507	0.9493	0.0	
0.3119	0.0505	0.9495	0.0	
0.3154	0.0504	0.9496	0.0	
0.3187	0.0501	0.9499	0.0	
0.3219	0.05	0.95	0.0	
0.3249	0.0495	0.9505	0.0	
0.3279	0.0496	0.9504	0.0	
0.3314	0.0493	0.9507	0.0	
0.3353	0.0489	0.9511	0.0	
0.3391	0.0487	0.9513	0.0	
0.3429	0.0484	0.9516	0.0	
0.3468	0.0481	0.9519	0.0	
0.3506	0.0479	0.9521	0.0	
0.3545	0.0476	0.9524	0.0	
0.3583	0.0475	0.9525	0.0	
0.3622	0.0474	0.9526	0.0	
0.366	0.0472	0.9528	0.0	
0.3698	0.0471	0.9529	0.0	
0.3737	0.0471	0.9529	0.0	
0.3775	0.0471	0.9529	0.0	
0.3814	0.0468	0.9532	0.0	
0.3852	0.0469	0.9531	0.0	
0.389	0.0468	0.9532	0.0	
0.3929	0.0469	0.9531	0.0	
0.3967	0.0469	0.9531	0.0	
0.4006	0.0469	0.9531	0.0	
0.4045	0.0469	0.9531	0.0	
0.4094	0.047	0.953	0.0	
0.4167	0.0469	0.9531	0.0	
0.4267	0.0467	0.9533	0.0	
0.4367	0.0467	0.9533	0.0	
0.4467	0.0469	0.9531	0.0	
0.4567	0.0468	0.9532	0.0	
0.4667	0.0468	0.9532	0.0	
0.4767	0.047	0.953	0.0	
0.4867	0.0476	0.9524	0.0	
0.4967	0.0481	0.9519	0.0	
0.5067	0.049	0.951	0.0	
0.5167	0.0509	0.9491	0.0	
0.5267	0.0518	0.9482	0.0	
0.5367	0.054	0.946	0.0	
0.5467	0.0582	0.9418	0.0	
0.5567	0.0651	0.9349	0.0	
