Sim 2

Solar R: 0.3788
Solar A: 0.6212
Solar T: 0.0

Wavelength	R	A	T
0.25	0.0554	0.9446	0.0	
0.2538	0.055	0.945	0.0	
0.2577	0.0546	0.9454	0.0	
0.2615	0.0543	0.9457	0.0	
0.2654	0.054	0.946	0.0	
0.2692	0.0536	0.9464	0.0	
0.2725	0.0533	0.9467	0.0	
0.2755	0.0532	0.9468	0.0	
0.2785	0.0529	0.9471	0.0	
0.2817	0.0525	0.9475	0.0	
0.2852	0.0523	0.9477	0.0	
0.2891	0.0519	0.9481	0.0	
0.2929	0.0517	0.9483	0.0	
0.2968	0.0515	0.9485	0.0	
0.3006	0.0512	0.9488	0.0	
0.3044	0.0509	0.9491	0.0	
0.3083	0.0506	0.9494	0.0	
0.3119	0.0505	0.9495	0.0	
0.3154	0.0503	0.9497	0.0	
0.3187	0.05	0.95	0.0	
0.3219	0.0497	0.9503	0.0	
0.3249	0.0494	0.9506	0.0	
0.3279	0.0494	0.9506	0.0	
0.3314	0.0492	0.9508	0.0	
0.3353	0.049	0.951	0.0	
0.3391	0.0487	0.9513	0.0	
0.3429	0.0482	0.9518	0.0	
0.3468	0.0481	0.9519	0.0	
0.3506	0.0477	0.9523	0.0	
0.3545	0.0475	0.9525	0.0	
0.3583	0.0476	0.9524	0.0	
0.3622	0.0474	0.9526	0.0	
0.366	0.0472	0.9528	0.0	
0.3698	0.0471	0.9529	0.0	
0.3737	0.0472	0.9528	0.0	
0.3775	0.047	0.953	0.0	
0.3814	0.0469	0.9531	0.0	
0.3852	0.047	0.953	0.0	
0.389	0.047	0.953	0.0	
0.3929	0.047	0.953	0.0	
0.3967	0.0469	0.9531	0.0	
0.4006	0.047	0.953	0.0	
0.4045	0.047	0.953	0.0	
0.4094	0.0469	0.9531	0.0	
0.4167	0.0468	0.9532	0.0	
0.4267	0.0468	0.9532	0.0	
0.4367	0.0468	0.9532	0.0	
0.4467	0.0469	0.9531	0.0	
0.4567	0.0468	0.9531	0.0	
0.4667	0.0469	0.9531	0.0	
