Sim 2

Solar R: 0.3801
Solar A: 0.6199
Solar T: 0.0

Wavelength	R	A	T
1.5421	0.6717	0.3282	0.0001	
1.5483	0.674	0.326	0.0001	
1.5545	0.6785	0.3214	0.0001	
1.5607	0.683	0.3169	0.0001	
1.5669	0.6835	0.3164	0.0001	
1.5731	0.6824	0.3175	0.0001	
1.5793	0.6822	0.3178	0.0	
1.5855	0.6809	0.319	0.0001	
1.5917	0.674	0.3259	0.0001	
1.5979	0.672	0.3279	0.0001	
1.6041	0.6676	0.3323	0.0001	
1.6103	0.6609	0.339	0.0001	
1.6165	0.6622	0.3377	0.0001	
1.6227	0.6604	0.3395	0.0001	
1.6289	0.6553	0.3446	0.0001	
1.6351	0.6534	0.3464	0.0001	
1.6413	0.6505	0.3494	0.0001	
1.6475	0.6483	0.3516	0.0001	
1.6537	0.6403	0.3596	0.0001	
1.6599	0.6256	0.3743	0.0001	
1.6661	0.5992	0.4007	0.0001	
1.6723	0.5697	0.4303	0.0001	
1.6785	0.5325	0.4675	0.0	
1.6847	0.5082	0.4918	0.0	
1.6909	0.4942	0.5058	0.0	
1.6971	0.4977	0.5022	0.0	
1.7033	0.4981	0.5019	0.0	
1.7095	0.504	0.4959	0.0	
1.7157	0.5021	0.4979	0.0	
1.7219	0.5064	0.4936	0.0	
1.7281	0.5065	0.4935	0.0	
1.7343	0.5109	0.489	0.0	
1.7405	0.524	0.476	0.0	
1.7467	0.5298	0.4702	0.0	
1.7529	0.5419	0.458	0.0	
1.7591	0.5478	0.4521	0.0001	
1.7653	0.5616	0.4383	0.0001	
1.7715	0.5739	0.426	0.0001	
1.7777	0.5853	0.4145	0.0002	
1.7839	0.5965	0.4032	0.0002	
1.7901	0.6019	0.3978	0.0003	
1.7963	0.6066	0.3931	0.0003	
1.8025	0.6104	0.3893	0.0003	
1.8087	0.61	0.3896	0.0004	
1.8149	0.6097	0.3899	0.0004	
1.8211	0.6084	0.3912	0.0004	
1.8273	0.6124	0.3871	0.0005	
1.8335	0.613	0.3865	0.0005	
1.8397	0.6211	0.3783	0.0006	
1.8459	0.6185	0.3808	0.0006	
1.8521	0.6209	0.3785	0.0007	
1.8583	0.6135	0.3858	0.0006	
1.8645	0.6084	0.3909	0.0007	
1.8707	0.6011	0.3982	0.0007	
1.8769	0.595	0.4041	0.0008	
1.8831	0.5917	0.4075	0.0008	
1.8893	0.5862	0.413	0.0008	
1.8955	0.5784	0.4208	0.0007	
1.9017	0.575	0.4245	0.0006	
1.9079	0.5692	0.4303	0.0004	
1.9141	0.5669	0.4326	0.0004	
1.9203	0.5677	0.4318	0.0005	
1.9265	0.5699	0.4295	0.0006	
1.9327	0.5725	0.4269	0.0006	
1.9389	0.5751	0.4242	0.0007	
1.9451	0.5821	0.4172	0.0006	
1.9513	0.5802	0.4192	0.0006	
1.9575	0.5818	0.4175	0.0008	
1.9637	0.5862	0.4129	0.0009	
1.9699	0.5914	0.4076	0.001	
1.9761	0.5933	0.4057	0.001	
