Sim 3

Solar R: 0.2797
Solar A: 0.7203
Solar T: 0.0

Wavelength	R	A	T
0.25	0.0553	0.9447	0.0	
0.2538	0.0551	0.9449	0.0	
0.2577	0.0547	0.9453	0.0	
0.2615	0.0544	0.9456	0.0	
0.2654	0.0541	0.9459	0.0	
0.2692	0.0537	0.9463	0.0	
0.2725	0.0533	0.9467	0.0	
0.2755	0.0532	0.9468	0.0	
0.2785	0.0529	0.9471	0.0	
0.2817	0.0526	0.9474	0.0	
0.2852	0.0523	0.9477	0.0	
0.2891	0.0519	0.9481	0.0	
0.2929	0.0519	0.9481	0.0	
0.2968	0.0514	0.9486	0.0	
0.3006	0.0511	0.9489	0.0	
0.3044	0.0511	0.9489	0.0	
0.3083	0.0506	0.9494	0.0	
0.3119	0.0503	0.9497	0.0	
0.3154	0.0502	0.9498	0.0	
0.3187	0.0501	0.9499	0.0	
0.3219	0.0497	0.9503	0.0	
0.3249	0.0497	0.9503	0.0	
0.3279	0.0494	0.9506	0.0	
0.3314	0.0494	0.9506	0.0	
0.3353	0.0488	0.9512	0.0	
0.3391	0.0486	0.9514	0.0	
0.3429	0.0483	0.9517	0.0	
0.3468	0.048	0.952	0.0	
0.3506	0.048	0.952	0.0	
0.3545	0.0475	0.9525	0.0	
0.3583	0.0475	0.9525	0.0	
0.3622	0.0473	0.9527	0.0	
0.366	0.0471	0.9529	0.0	
0.3698	0.0471	0.9529	0.0	
0.3737	0.0472	0.9528	0.0	
0.3775	0.047	0.953	0.0	
0.3814	0.047	0.953	0.0	
0.3852	0.047	0.953	0.0	
0.389	0.0469	0.9531	0.0	
0.3929	0.047	0.953	0.0	
0.3967	0.047	0.953	0.0	
0.4006	0.0469	0.9531	0.0	
0.4045	0.0468	0.9532	0.0	
0.4094	0.0468	0.9532	0.0	
0.4167	0.0469	0.9531	0.0	
0.4267	0.0469	0.9531	0.0	
0.4367	0.0468	0.9532	0.0	
0.4467	0.0467	0.9533	0.0	
0.4567	0.0468	0.9532	0.0	
0.4667	0.0468	0.9532	0.0	
0.4767	0.0467	0.9533	0.0	
0.4867	0.0468	0.9532	0.0	
0.4967	0.0469	0.9531	0.0	
0.5067	0.0468	0.9532	0.0	
0.5167	0.0467	0.9533	0.0	
0.5267	0.0466	0.9534	0.0	
0.5367	0.0466	0.9534	0.0	
0.5467	0.0468	0.9532	0.0	
0.5567	0.0474	0.9526	0.0	
0.5667	0.0485	0.9515	0.0	
0.5767	0.0503	0.9497	0.0	
0.5867	0.0529	0.9471	0.0	
0.5967	0.0587	0.9413	0.0	
0.6067	0.0689	0.9311	0.0	
0.6167	0.0833	0.9167	0.0	
0.6267	0.1012	0.8988	0.0	
0.6367	0.1189	0.8811	0.0	
0.6467	0.1343	0.8657	0.0	
0.6567	0.154	0.846	0.0	
0.6667	0.1809	0.8191	0.0	
0.6767	0.2064	0.7936	0.0	
0.6867	0.229	0.771	0.0	
0.6967	0.2519	0.7481	0.0	
0.7067	0.2758	0.7242	0.0	
0.7167	0.2973	0.7027	0.0	
0.7267	0.3153	0.6847	0.0	
0.7367	0.3422	0.6578	0.0	
0.7467	0.357	0.643	0.0	
0.7567	0.372	0.628	0.0	
0.7667	0.3774	0.6226	0.0	
0.7767	0.3886	0.6114	0.0	
0.7867	0.3958	0.6042	0.0	
0.7967	0.3901	0.6099	0.0	
0.8067	0.3757	0.6243	0.0	
0.8167	0.3592	0.6408	0.0	
0.8267	0.3492	0.6508	0.0	
0.8367	0.345	0.655	0.0	
0.8467	0.3397	0.6603	0.0	
0.8567	0.3406	0.6594	0.0	
0.8667	0.3472	0.6528	0.0	
0.8767	0.3558	0.6442	0.0	
0.8867	0.3599	0.6401	0.0	
0.8967	0.3718	0.6282	0.0	
0.9067	0.3843	0.6157	0.0	
0.9167	0.3927	0.6073	0.0	
0.9267	0.3975	0.6025	0.0	
0.9367	0.4018	0.5982	0.0	
0.9467	0.4132	0.5868	0.0	
0.9567	0.4251	0.5749	0.0	
0.9667	0.4397	0.5603	0.0	
0.9767	0.459	0.541	0.0	
0.9867	0.4789	0.5211	0.0	
0.9967	0.5071	0.4929	0.0	
1.0067	0.5171	0.4829	0.0	
1.0167	0.5317	0.4683	0.0	
1.0267	0.549	0.451	0.0	
1.0367	0.5702	0.4298	0.0	
1.0467	0.5899	0.4101	0.0	
1.0567	0.5926	0.4074	0.0	
1.0667	0.5967	0.4033	0.0	
1.0767	0.5997	0.4003	0.0	
1.0867	0.6032	0.3968	0.0	
1.0967	0.6022	0.3978	0.0	
1.1067	0.6034	0.3966	0.0	
1.1167	0.6066	0.3934	0.0	
1.1267	0.6074	0.3926	0.0	
1.1367	0.6221	0.3779	0.0	
1.1467	0.624	0.376	0.0	
1.1567	0.6276	0.3724	0.0	
1.1667	0.6237	0.3763	0.0	
1.1767	0.5976	0.4024	0.0	
1.1867	0.5869	0.4131	0.0	
1.1967	0.5883	0.4117	0.0	
1.2067	0.6035	0.3965	0.0	
1.2167	0.6178	0.3822	0.0	
1.2267	0.6237	0.3763	0.0	
1.2367	0.6266	0.3734	0.0	
1.2467	0.6308	0.3692	0.0	
1.2567	0.629	0.371	0.0	
1.2667	0.6445	0.3555	0.0	
1.2767	0.651	0.349	0.0	
1.2867	0.6406	0.3594	0.0	
1.2967	0.6281	0.3719	0.0	
1.3067	0.6089	0.3911	0.0	
1.3167	0.6055	0.3945	0.0	
1.3267	0.6107	0.3893	0.0	
1.3367	0.6044	0.3956	0.0	
1.3467	0.6016	0.3984	0.0	
1.3567	0.5906	0.4094	0.0	
1.3667	0.5774	0.4226	0.0	
1.3767	0.5606	0.4394	0.0	
1.3867	0.5438	0.4562	0.0	
1.3967	0.548	0.452	0.0	
1.4067	0.5374	0.4626	0.0	
1.4167	0.5245	0.4755	0.0	
1.4267	0.5227	0.4772	0.0	
1.4367	0.524	0.476	0.0	
1.4467	0.5277	0.4723	0.0	
1.4567	0.5368	0.4631	0.0	
1.4667	0.5475	0.4525	0.0	
1.4767	0.5471	0.4529	0.0	
1.4867	0.5453	0.4546	0.0	
1.4967	0.5402	0.4598	0.0	
1.5049	0.5422	0.4578	0.0	
1.5111	0.5462	0.4538	0.0	
1.5173	0.5432	0.4568	0.0	
1.5235	0.5409	0.4591	0.0	
1.5297	0.5352	0.4647	0.0	
1.5359	0.5334	0.4665	0.0001	
1.5421	0.5308	0.4692	0.0001	
1.5483	0.5298	0.4702	0.0001	
1.5545	0.5359	0.464	0.0001	
1.5607	0.54	0.46	0.0	
1.5669	0.5419	0.458	0.0001	
1.5731	0.5399	0.46	0.0001	
1.5793	0.5385	0.4615	0.0	
